@relation 1288D_Gender

@attribute time {4898 ms,3462 ms,3353 ms,670 ms,702 ms,1528 ms,1309 ms,1669 ms,561 ms,1325 ms,623 ms,748 ms,779 ms,592 ms,1419 ms,529 ms,686 ms,1372 ms,810 ms,997 ms,1075 ms,4991 ms,4476 ms,483 ms,872 ms,888 ms,701 ms,764 ms,4383 ms,2573 ms,904 ms,794 ms,732 ms,2121 ms,2511 ms,2589 ms,1247 ms,4507 ms,1731 ms,2386 ms,3400 ms,4679 ms,717 ms,498 ms,1762 ms,514 ms,2090 ms,795 ms,576 ms,1730 ms,857 ms,4601 ms,841 ms,4336 ms,966 ms,1481 ms,1060 ms,1450 ms,1263 ms,4741 ms,4414 ms,935 ms,826 ms,889 ms,4757 ms,4430 ms,4976 ms,1715 ms,1138 ms,2713 ms,920 ms,4508 ms,950 ms,873 ms,1201 ms,499 ms,811 ms,685 ms,4367 ms,2760 ms,780 ms,1278 ms,4945 ms,4555 ms,2745 ms,4492 ms,639 ms,951 ms,1045 ms,1622 ms,467 ms,3291 ms,4351 ms,249 ms,936 ms,1029 ms,577 ms,1014 ms,4586 ms,1465 ms,2168 ms,2448 ms,998 ms,4773 ms,1169 ms,4477 ms,2105 ms,2730 ms,2058 ms,4117 ms,2167 ms,2761 ms,2183 ms,4399 ms,1855 ms,2433 ms,624 ms,2542 ms,4446 ms,1122 ms,280 ms,2308 ms,4352 ms,1950 ms,1590 ms,3915 ms,4523 ms,295 ms,2246 ms,3010 ms,2043 ms,327 ms,716 ms,2870 ms,4320 ms,1262 ms,171 ms,2355 ms,638 ms,218 ms,187 ms,2417 ms,4570 ms,842 ms,1778 ms,4929 ms,1294 ms,4398 ms,1231 ms,3431 ms,3338 ms,4102 ms,1388 ms,733 ms,3447 ms}
@attribute memory {15400 KB,0 KB,11600 KB,18800 KB,14100 KB,11800 KB,10600 KB,9400 KB,12900 KB,75100 KB,12800 KB,12700 KB,39100 KB,9500 KB,19300 KB,300600 KB,18900 KB,2600 KB,29400 KB,10900 KB,17600 KB,21100 KB,15700 KB,12300 KB,65700 KB,19600 KB,35200 KB,32800 KB,24900 KB,166600 KB,1200 KB,1300 KB,15300 KB,9800 KB,11700 KB,24500 KB,23500 KB,100 KB,15500 KB,16600 KB,11900 KB,12200 KB,28200 KB,21700 KB,16800 KB,13200 KB,25800 KB,10700 KB,10800 KB,21300 KB,39500 KB,14200 KB,22600 KB,19700 KB,9700 KB,72800 KB,62800 KB,19100 KB,42500 KB,57500 KB,21200 KB,12000 KB,15900 KB,13100 KB,51700 KB,13900 KB,17800 KB,117400 KB,21500 KB,23700 KB,71900 KB,369900 KB,40000 KB,18200 KB,24300 KB,75200 KB,11300 KB,16700 KB,32700 KB,22400 KB,25100 KB,48100 KB,23600 KB,9600 KB,13000 KB,15800 KB,16200 KB,50000 KB,251700 KB,29500 KB,23100 KB}
@attribute country {France,China,Unknown,Indonesia,India,Syria,Iran,Kyrgyzstan,Taiwan,Finland,Georgia,Russia,Serbia,'South Korea',Argentina,'Hong Kong',Austria,Mexico,Brazil,Romania,Ukraine,Bangladesh,'United States',Norway,Belarus,Spain,Italy,Vietnam,Uzbekistan,Peru,Estonia,Philippines,Mongolia,Latvia,Hungary,Poland,Chile,Egypt,Portugal,Tajikistan,Singapore,Jordan,Croatia,Antarctica,Japan,Lithuania,Zambia,Canada}
@attribute continent {Europe,Asia,Unknown,AsiaEurope,'South America','North America',AsiaAfrica,Antarctica,Africa}
@attribute program_vocabulary numeric
@attribute program_length numeric
@attribute calculated_estimated_program_length numeric
@attribute volume numeric
@attribute difficulty numeric
@attribute effort numeric
@attribute loc numeric
@attribute slocP numeric
@attribute lsloc numeric
@attribute comments numeric
@attribute blankLine numeric
@attribute cyclomatic_complexity numeric
@attribute numberOfFunction numeric
@attribute gender {male,female}

@data
4898 ms,15400 KB,France,Europe,50,245,232.19281,1382.744766,32,44247.83253,17,14,13,3,1,8,1,male
3462 ms,0 KB,China,Asia,54,249,256.81737,1432.966988,27.461538,39351.47806,24,21,21,3,0,13,3,male
3353 ms,11600 KB,Unknown,Unknown,52,257,244.478367,1465.013008,24.537037,35947.07843,36,30,28,6,2,10,1,male
670 ms,18800 KB,Indonesia,Asia,68,280,346.1173,1704.489596,38.25,65196.72703,31,28,28,3,0,13,2,male
702 ms,14100 KB,India,Asia,66,271,333.631223,1638.030806,39.551724,64786.94258,35,31,31,4,0,13,2,female
1528 ms,11800 KB,Syria,Asia,66,255,333.324018,1541.3205,37.2,57337.12262,38,31,29,7,2,14,2,male
1309 ms,10600 KB,China,Asia,55,280,264.572501,1618.78072,28.5,46135.25051,27,15,15,12,0,4,1,female
1669 ms,11600 KB,China,Asia,55,256,262.9879,1480.028087,26.035714,38533.5884,44,27,19,17,8,9,1,female
561 ms,9400 KB,China,Asia,81,381,433.250689,2415.482851,53.2,128503.6877,31,27,27,4,0,17,2,male
1325 ms,9400 KB,China,Asia,65,279,328.342119,1680.24062,43.5,73090.46696,35,31,31,4,0,15,2,male
623 ms,11800 KB,Unknown,Unknown,79,335,419.446685,2111.766551,41.023256,86631.53943,34,29,29,5,0,14,2,male
748 ms,11800 KB,China,Asia,77,299,405.551932,1873.769176,34.894737,65384.68229,34,25,25,9,0,8,2,male
779 ms,10600 KB,India,Asia,60,262,295.185169,1547.605336,38.576923,59701.852,47,37,31,10,6,14,2,male
592 ms,12900 KB,China,Asia,72,324,372.27468,1999.0557,39.642857,79248.27955,41,36,36,5,0,13,2,male
1419 ms,75100 KB,Iran,Asia,56,241,271.081232,1399.572536,35.545455,49748.44197,38,29,27,9,2,6,1,male
529 ms,11800 KB,China,Asia,78,338,412.409407,2124.46595,56.853659,120783.6617,37,28,24,9,4,14,2,male
686 ms,9400 KB,Kyrgyzstan,Asia,60,250,296.791699,1476.722649,25.73913,38009.55688,32,27,27,5,0,14,2,male
561 ms,12800 KB,Unknown,Unknown,79,345,419.446685,2174.804358,51.488372,111977.136,29,24,24,5,0,14,2,female
561 ms,12700 KB,Unknown,Unknown,79,345,419.446685,2174.804358,51.488372,111977.136,29,24,24,5,0,14,2,female
779 ms,10600 KB,Taiwan,Asia,64,277,320.723238,1662,36,59832,44,33,28,11,5,14,2,male
1372 ms,39100 KB,China,Asia,63,269,316.169787,1607.888299,44.6875,71852.50838,39,35,35,4,0,13,2,male
1419 ms,9500 KB,Finland,Europe,62,312,307.206718,1857.709249,43.2,80253.03955,54,38,27,16,11,14,3,male
810 ms,19300 KB,Georgia,AsiaEurope,62,255,309.460346,1518.320059,19.791667,30050.0845,39,36,36,3,0,14,1,male
997 ms,300600 KB,China,Asia,63,301,313.855186,1799.161257,27.294118,49106.51901,51,44,44,7,0,10,2,male
1075 ms,18900 KB,India,Asia,39,246,190.872188,1300.208946,18,23403.76103,47,40,37,7,3,13,3,male
4991 ms,2600 KB,Russia,AsiaEurope,66,289,333.104991,1746.8299,32.771429,57246.11131,36,29,29,7,0,11,2,male
592 ms,11800 KB,China,Asia,64,321,322.227091,1926,31.2,60091.2,46,41,41,5,0,15,2,male
623 ms,11800 KB,China,Asia,64,323,322.227091,1938,31.2,60465.6,46,41,41,5,0,15,2,male
4476 ms,29400 KB,India,Asia,54,256,257.245818,1473.251201,36.25,53405.35602,49,32,22,17,10,6,2,female
483 ms,10900 KB,China,Asia,66,316,333.104991,1910.028542,49.112903,93807.04693,52,46,46,6,0,17,3,male
592 ms,39100 KB,China,Asia,65,287,329.698732,1728.419562,46.979167,81199.71069,39,33,33,6,0,13,2,male
872 ms,17600 KB,Unknown,Unknown,67,295,339.697386,1789.496311,37.16129,66499.99195,44,36,35,8,1,14,2,male
