@relation 1304E_Gender

@attribute time {546 ms,404 ms,1404 ms,452 ms,389 ms,343 ms,686 ms,327 ms,1778 ms,576 ms,623 ms,421 ms,390 ms,467 ms,1107 ms,499 ms,436 ms,358 ms,202 ms,312 ms,498 ms,280 ms,530 ms,1232 ms,405 ms,1154 ms,732 ms,842 ms,1216 ms,1762 ms,311 ms,374 ms,1606 ms,1590 ms,1716 ms,1699 ms,249 ms,265 ms,1496 ms,342 ms,1294 ms,545 ms,451 ms,1559 ms,764 ms,655 ms,468 ms,826 ms,373 ms,811 ms,607 ms,857 ms,514 ms,420 ms,577 ms,1560 ms,1482 ms,483 ms,1138 ms,795 ms,1622 ms,1357 ms,295 ms,233 ms,592 ms,1153 ms,748 ms,608 ms,296 ms,717 ms,638 ms,701 ms,702 ms,326 ms,1466 ms,1310 ms,1575 ms,982 ms,1341 ms,93 ms,935 ms,2729 ms,171 ms,1388 ms,670 ms,264 ms,780 ms,1403 ms,561 ms,2012 ms,919 ms,1465 ms,1481 ms,482 ms,639 ms,1653 ms,889 ms,1809 ms,1060 ms,904 ms,1544 ms,810 ms,951 ms,124 ms,109 ms}
@attribute memory {13500 KB,16100 KB,16800 KB,14600 KB,15000 KB,21000 KB,14500 KB,92400 KB,13300 KB,39500 KB,12500 KB,17800 KB,17600 KB,15600 KB,13900 KB,11900 KB,15800 KB,22300 KB,10500 KB,26200 KB,20100 KB,56000 KB,25000 KB,20500 KB,14900 KB,15300 KB,17000 KB,16000 KB,19900 KB,30000 KB,32000 KB,15900 KB,13700 KB,11400 KB,9800 KB,18300 KB,18900 KB,16200 KB,34600 KB,19300 KB,24000 KB,19400 KB,139300 KB,17200 KB,221700 KB,21400 KB,13100 KB,14200 KB,18700 KB,25800 KB,72900 KB,27500 KB,74400 KB,26600 KB,7000 KB,116700 KB,23500 KB,11800 KB,16600 KB,15700 KB,12900 KB,17400 KB,24200 KB,59600 KB,18200 KB,24800 KB,18500 KB,33800 KB,10900 KB,59800 KB,16300 KB,21100 KB,29100 KB,10600 KB,15200 KB,18000 KB,8100 KB,16400 KB,41100 KB,87200 KB,12000 KB,11000 KB,37600 KB,28200 KB,10700 KB,12100 KB,23800 KB,14100 KB,25200 KB,28900 KB,6300 KB,19200 KB,108800 KB,15400 KB,40200 KB,230300 KB,19800 KB,25900 KB,107400 KB,59900 KB,36500 KB,24100 KB,36400 KB,58900 KB,18400 KB,30200 KB,86800 KB,59500 KB,17900 KB,108200 KB,12800 KB,92300 KB,28300 KB,29200 KB,42400 KB,32900 KB,74200 KB,112100 KB,30600 KB,18600 KB,34400 KB,11200 KB}
@attribute country {Peru,China,Russia,Serbia,'North Korea',India,Brazil,Vietnam,Syria,Unknown,Iran,Canada,Kyrgyzstan,'South Korea',Indonesia,Italy,Lebanon,Turkmenistan,Argentina,Bangladesh,Taiwan,Kazakhstan,Singapore,Ukraine,Poland,Philippines,Thailand,Croatia,'Hong Kong',Chile,Latvia,Zambia,Egypt,Antarctica,Japan,Belarus,Germany,Sweden}
@attribute continent {'South America',Asia,AsiaEurope,Europe,Unknown,'North America',Africa,AsiaAfrica,Antarctica}
@attribute program_vocabulary numeric
@attribute program_length numeric
@attribute calculated_estimated_program_length numeric
@attribute volume numeric
@attribute difficulty numeric
@attribute effort numeric
@attribute loc numeric
@attribute slocP numeric
@attribute lsloc numeric
@attribute comments numeric
@attribute blankLine numeric
@attribute cyclomatic_complexity numeric
@attribute numberOfFunction numeric
@attribute gender {male,female}

@data
546 ms,13500 KB,Peru,'South America',68,468,347.012135,2848.93261,63.206897,180072.1887,44,34,33,10,1,15,5,male
404 ms,16100 KB,China,Asia,81,496,433.608756,3144.565601,51.73913,162697.0898,40,35,33,5,2,21,4,male
1404 ms,16800 KB,Russia,AsiaEurope,75,476,392.17102,2964.917697,60.594595,179657.9858,55,50,50,5,0,22,5,male
452 ms,14600 KB,Serbia,Europe,94,581,524.633121,3808.216123,66.839286,254538.4455,44,37,37,7,0,18,5,male
389 ms,15000 KB,China,Asia,68,472,346.1173,2873.282461,54,155157.2529,62,55,55,7,0,19,4,male
343 ms,15000 KB,'North Korea',Asia,68,472,346.1173,2873.282461,54,155157.2529,63,55,54,8,1,19,4,male
686 ms,21000 KB,India,Asia,90,525,494.780415,3408.222876,66.520408,226716.3768,48,43,43,5,0,25,5,male
327 ms,14500 KB,China,Asia,69,461,352.749775,2816.029775,53.765625,151405.6008,70,65,65,5,0,23,5,female
1778 ms,13500 KB,Brazil,'South America',70,462,359.214781,2831.728754,64.469697,182560.6947,64,59,59,5,0,21,5,male
576 ms,92400 KB,China,Asia,73,489,378.867075,3026.824209,60.638889,183543.2569,60,53,53,7,0,21,5,female
623 ms,92400 KB,China,Asia,73,492,378.867075,3045.393683,61.152778,186234.2831,61,54,54,7,0,21,5,female
327 ms,13300 KB,India,Asia,82,541,440.20115,3439.435634,57.130435,196496.4532,66,59,59,7,0,22,6,male
421 ms,39500 KB,China,Asia,102,650,582.699322,4337.076472,63.142857,273855.4001,41,0,0,41,0,0,6,male
390 ms,12500 KB,China,Asia,81,538,432.964766,3410.839302,47.931818,163487.7292,55,52,52,3,0,23,5,female
467 ms,17800 KB,Vietnam,Asia,64,411,320.723238,2466,52.071429,128408.1429,56,50,50,6,0,20,5,male
1107 ms,17600 KB,Syria,Asia,72,460,372.27468,2838.165501,51.271429,145516.7997,65,55,50,10,5,21,4,male
499 ms,17600 KB,China,Asia,71,494,365.642206,3037.975077,46.666667,141772.1703,79,73,73,6,0,23,4,male
436 ms,15600 KB,China,Asia,73,523,378.867075,3237.278244,57.405405,185837.27,61,49,47,12,2,23,4,male
358 ms,13900 KB,Unknown,Unknown,134,797,830.266969,5631.673085,71.021053,399967.3506,27,23,23,4,0,28,9,female
202 ms,11900 KB,China,Asia,82,488,440.20115,3102.485378,72.782609,225806.9793,53,42,35,11,7,16,5,male
421 ms,15800 KB,China,Asia,74,402,385.655592,2496.200253,50.7,126557.3528,49,40,39,9,1,17,3,female
452 ms,15800 KB,China,Asia,74,402,385.655592,2496.200253,50.7,126557.3528,50,40,38,10,2,17,3,female
312 ms,13300 KB,China,Asia,78,579,412.594632,3639.247885,58.285714,212116.1624,55,51,51,4,0,23,5,male
498 ms,22300 KB,China,Asia,72,502,372.27468,3097.302351,57.085714,176811.717,77,69,69,8,0,23,5,female
280 ms,10500 KB,China,Asia,65,507,326.998749,3053.340481,53.37931,162985.2091,74,69,69,5,0,22,7,male
530 ms,14500 KB,China,Asia,77,515,405.626898,3227.395068,51.8,167179.0645,60,46,43,14,3,21,4,male
452 ms,26200 KB,China,Asia,60,506,295.62131,2988.886641,42,125533.2389,61,57,57,4,0,22,4,male
1232 ms,15800 KB,China,Asia,79,465,419.080878,2931.258048,64.736842,189760.3894,69,51,43,18,8,21,5,male
405 ms,20100 KB,China,Asia,72,528,372.27468,3257.720401,54.391892,177193.5759,76,67,67,9,0,20,6,female
