time,memory,country,continent,program_vocabulary,program_length,calculated_estimated_program_length,volume,difficulty,effort,loc,slocP,lsloc,comments,blankLine,cyclomatic_complexity,numberOfFunction,gender
1029 ms,13200 KB,China,Asia,47,251,217.5800856,1394.201802,53.28125,74284.81475,36,32,32,4,0,12,3,male
811 ms,13400 KB,Iran,Asia,51,223,240.7106228,1264.950851,39.57894737,50065.42317,39,34,34,5,0,11,3,male
311 ms,14200 KB,Finland,Europe,52,249,244.9233738,1419.40949,30.89130435,43847.41054,32,26,26,6,0,10,3,male
810 ms,15300 KB,Poland,Europe,50,223,235.05865,1258.57993,41.77777778,52580.67264,39,34,34,5,0,11,3,male
764 ms,15300 KB,Latvia,Europe,51,225,240.7106228,1276.295702,41.26315789,52663.99107,38,33,33,5,0,11,3,male
779 ms,13400 KB,Egypt,AsiaAfrica,51,223,240.7106228,1264.950851,39.57894737,50065.42317,39,34,34,5,0,11,3,male
748 ms,19700 KB,France,Europe,53,233,252.9035678,1334.605466,39.6,52850.37645,41,36,36,5,0,11,3,male
748 ms,15500 KB,India,Asia,63,279,313.5800856,1667.661099,43.59375,72699.60102,40,28,24,12,4,11,3,male
779 ms,15300 KB,Iran,Asia,58,272,283.0128366,1593.370831,38.95833333,62075.07195,44,35,34,9,1,12,3,female
342 ms,19800 KB,Russia,AsiaEurope,59,280,288.6764386,1647.140054,41.25,67944.52722,39,32,32,7,0,13,3,male
265 ms,19700 KB,India,Asia,57,248,276.0964047,1446.556724,38.4,55547.77818,43,31,24,12,7,11,3,male
733 ms,15300 KB,India,Asia,58,283,281.9620482,1657.808622,37.88888889,62812.52666,32,28,28,4,0,11,3,male
264 ms,14900 KB,China,Asia,73,324,379.3421297,2005.503157,37.5375,75281.57476,31,25,22,6,3,14,3,male
280 ms,16100 KB,China,Asia,54,241,258.1074956,1386.927888,39.27272727,54468.44069,38,32,32,6,0,11,3,female
264 ms,14200 KB,India,Asia,53,276,252.2386659,1580.906045,53.33333333,84314.98909,44,36,33,8,3,11,3,male
295 ms,15500 KB,Bangladesh,Asia,58,313,281.8126557,1833.548051,43.92857143,80545.14655,49,36,29,13,7,12,3,male
311 ms,14100 KB,China,Asia,60,314,294.6059378,1854.763647,46.85714286,86908.92517,43,37,36,6,1,12,3,female
483 ms,14000 KB,Iran,Asia,58,288,282.5614107,1687.098527,50.82,85738.34712,51,41,37,10,4,11,3,male
296 ms,15300 KB,Iran,Asia,60,263,294.8469685,1553.512227,47.05555556,73101.38089,38,30,27,8,3,11,3,male
264 ms,14200 KB,Finland,Europe,60,294,296.1564001,1736.625835,43.5,75543.22383,50,38,35,12,3,11,3,male
249 ms,16900 KB,Taiwan,Asia,61,314,300.7868035,1862.251524,51.66666667,96216.32874,42,31,24,11,7,13,3,male
1014 ms,14000 KB,China,Asia,54,243,258.1074956,1398.437663,37.09090909,51869.32423,45,39,38,6,1,11,3,female
280 ms,16100 KB,Bangladesh,Asia,50,251,235.05865,1416.607904,27.55555556,39035.41779,37,33,33,4,0,11,3,male
717 ms,16100 KB,India,Asia,47,269,215.9400989,1494.184401,40.27777778,60182.42727,50,42,42,8,0,11,3,male
780 ms,14200 KB,India,Asia,55,260,263.6191856,1503.153526,38.75,58247.19911,53,41,36,12,5,12,3,male
1029 ms,15200 KB,United States,North America,46,277,209.0925853,1530.026662,44.76315789,68488.82505,38,29,24,9,5,10,3,male
810 ms,15300 KB,India,Asia,52,241,248.0323866,1373.805972,44.38888889,60981.72065,44,34,34,10,0,11,3,male
748 ms,16100 KB,Bangladesh,Asia,57,348,275.7915183,2029.845725,50.07692308,101648.4282,47,36,32,11,4,14,3,male
779 ms,16100 KB,India,Asia,64,295,320.1804545,1770,44.76666667,79237,50,42,40,8,2,14,3,male
763 ms,15500 KB,Indonesia,Asia,65,285,326.5538222,1716.374827,36.47058824,62597.19956,42,33,29,9,4,11,3,male
748 ms,15200 KB,India,Asia,51,292,238.9889445,1656.3482,37.56818182,62225.99033,55,47,47,8,0,11,3,male
779 ms,14200 KB,China,Asia,49,297,227.3200108,1667.568824,46.4,77375.19342,60,56,56,4,0,11,3,male
748 ms,14200 KB,India,Asia,57,295,276.504106,1720.702554,52.9375,91089.69146,51,41,36,10,5,12,3,male
218 ms,14100 KB,China,Asia,64,304,320.0450916,1824,37.79032258,68929.54839,48,35,34,13,1,12,3,male
748 ms,14200 KB,India,Asia,49,315,229.4868683,1768.633601,47.05882353,83229.81651,65,59,59,6,0,15,3,male
311 ms,15900 KB,China,Asia,54,307,257.6220106,1766.750463,41.7826087,73819.44327,45,38,38,7,0,11,3,male
264 ms,13400 KB,Vietnam,Asia,60,306,295.1851693,1807.508522,56.88461538,102819.4271,51,38,30,13,8,12,3,male
264 ms,14200 KB,Taiwan,Asia,57,287,277.0156616,1674.039434,53.2173913,89088.01162,49,41,40,8,1,13,3,male
358 ms,24600 KB,India,Asia,59,289,288.6764386,1700.083841,53.30769231,90627.54631,55,36,29,19,7,10,3,male
248 ms,14000 KB,China,Asia,65,324,326.4650059,1951.247171,45.890625,89543.95223,50,41,37,9,4,12,3,male
296 ms,11500 KB,Russia,AsiaEurope,79,374,422.3275002,2357.614,41.63265306,98153.72571,40,29,25,11,4,11,3,male
296 ms,14200 KB,China,Asia,56,265,271.0812322,1538.949054,51,78486.40177,41,33,33,8,0,11,3,male
311 ms,22700 KB,Mexico,North America,35,223,164.7548875,1143.830113,16,18301.2818,38,31,31,7,0,8,3,male
763 ms,16900 KB,Russia,AsiaEurope,63,305,313.6717238,1823.070377,46.75,85228.54011,57,37,24,20,13,11,3,male
1045 ms,30000 KB,Bangladesh,Asia,38,251,184.2797931,1317.229806,17.5,23051.5216,45,27,23,18,4,11,3,male
156 ms,12100 KB,China,Asia,66,388,333.1049912,2345.224918,38.08571429,89319.56617,43,39,39,4,0,11,4,male
311 ms,16100 KB,India,Asia,51,249,242.4606049,1412.43391,37,52260.05468,59,39,28,20,11,11,3,male
280 ms,16900 KB,Hong Kong,Asia,58,346,281.8126557,2026.861424,46.2,93640.9978,40,35,35,5,0,13,3,male
264 ms,16100 KB,China,Asia,53,258,252.2386659,1477.803477,36.57142857,54045.38431,44,38,38,6,0,11,3,female
296 ms,14200 KB,Syria,Asia,58,310,281.9620482,1815.974108,63.14814815,114675.402,46,31,22,15,9,11,3,male
249 ms,14100 KB,China,Asia,57,308,276.0964047,1796.530124,48,86233.44597,41,34,33,7,1,13,3,male
296 ms,22700 KB,India,Asia,36,218,171.2198934,1127.04365,16.5,18596.22023,41,30,27,11,3,11,3,male
296 ms,21100 KB,India,Asia,35,235,164.7548875,1205.381509,16,19286.10414,53,41,35,12,6,15,3,male
264 ms,12600 KB,India,Asia,54,258,257.6220106,1484.760976,51.2173913,76045.58388,41,36,36,5,0,11,3,male
763 ms,24700 KB,India,Asia,48,289,223.0669539,1614.054163,46.5,75053.51857,63,47,39,16,8,11,3,male
1029 ms,14000 KB,Iran,Asia,0,0,0,0,0,0,46,35,32,11,3,11,3,male
764 ms,28300 KB,India,Asia,51,268,242.4606049,1520.209992,35,53207.34971,60,45,39,15,6,11,3,male
264 ms,17800 KB,Egypt,AsiaAfrica,53,256,252.9035678,1466.347636,41.25,60486.84,46,41,41,5,0,11,3,male
764 ms,16100 KB,India,Asia,50,249,235.05865,1405.320191,31.11111111,43721.07262,59,48,45,11,3,9,3,male
249 ms,13400 KB,Argentina,South America,53,246,251.2486429,1409.068432,30,42272.05295,53,37,26,16,11,11,3,male
732 ms,19700 KB,India,Asia,52,290,245.8187515,1653.127518,45.02380952,74430.0985,51,41,37,10,4,11,3,male
280 ms,13400 KB,Indonesia,Asia,54,309,258.1074956,1778.260238,55.27272727,98289.29316,50,39,35,11,4,14,3,male
1060 ms,21200 KB,India,Asia,34,209,158.3349731,1063.279734,15.5,16480.83587,76,47,25,29,22,12,3,male
748 ms,17800 KB,Bangladesh,Asia,50,237,233.6452798,1337.593917,34.5,46146.99014,54,42,38,12,4,12,3,male
794 ms,23000 KB,India,Asia,38,268,180.9737366,1406.444574,17,23909.55775,64,57,57,7,0,12,3,male
249 ms,12600 KB,India,Asia,52,244,247.1756287,1390.907291,49.5,68849.91092,59,47,41,12,6,10,3,male
264 ms,15300 KB,Unknown,Unknown,54,305,258.7036718,1755.240688,51.85714286,91021.76711,58,46,40,12,6,11,3,male
312 ms,22300 KB,India,Asia,61,285,301.7363383,1690.260141,45.09615385,76224.23137,58,42,36,16,6,12,3,male
295 ms,13600 KB,South Korea,Asia,58,263,282.5614107,1540.649002,34.98,53891.90208,45,29,24,16,5,12,3,male
483 ms,15900 KB,Taiwan,Asia,49,273,231.5770955,1532.815787,36.26666667,55590.11922,68,49,36,19,13,11,3,male
311 ms,16100 KB,China,Asia,54,295,256.9778536,1697.691813,40.6,68926.28761,41,31,26,10,5,15,3,male
312 ms,16300 KB,Unknown,Unknown,64,312,320.7232379,1872,45,84240,51,40,36,11,4,12,4,male
280 ms,16300 KB,Unknown,Unknown,64,312,320.7232379,1872,45,84240,51,40,36,11,4,12,4,male
280 ms,21100 KB,India,Asia,44,249,212.401259,1359.398473,52.85714286,71853.91929,58,36,28,22,8,8,3,male
