@relation 1326D2_Gender

@attribute time {530 ms,389 ms,108 ms,373 ms,561 ms,592 ms,124 ms,499 ms,436 ms,545 ms,343 ms,529 ms,546 ms,608 ms,77 ms,93 ms,109 ms,62 ms,420 ms,374 ms,577 ms,560 ms,78 ms,92 ms,405 ms,296 ms,468 ms,483 ms,202 ms,576 ms,421 ms,327 ms,280 ms,358 ms,467 ms,186 ms,139 ms,342 ms,514 ms,498 ms,171 ms,390 ms,187 ms,140 ms,404 ms,156 ms,607 ms,155 ms,701 ms,452 ms,639 ms,61 ms,733 ms,482 ms,1154 ms,1684 ms,233 ms,779 ms,218 ms,217 ms,686 ms,670 ms,623 ms,732 ms,655 ms,249 ms,638 ms,234 ms,1029 ms,1512 ms,1887 ms,1263 ms,1528 ms,1310 ms,748 ms,1559 ms,763 ms,1746 ms,1341 ms}
@attribute memory {19500 KB,21100 KB,20900 KB,21800 KB,18200 KB,15700 KB,18600 KB,27000 KB,20600 KB,26400 KB,11300 KB,16700 KB,23500 KB,25500 KB,16500 KB,24400 KB,32300 KB,17600 KB,14700 KB,10800 KB,24500 KB,25000 KB,15300 KB,11800 KB,25400 KB,19600 KB,19700 KB,16600 KB,17200 KB,9800 KB,22600 KB,16900 KB,18500 KB,26500 KB,22100 KB,21500 KB,20800 KB,12700 KB,6000 KB,19100 KB,50900 KB,19200 KB,15600 KB,25600 KB,6400 KB,23100 KB,15400 KB,17700 KB,18100 KB,31000 KB,15800 KB,22700 KB,26700 KB,30900 KB,11700 KB,31200 KB,14600 KB,31700 KB,19300 KB,41000 KB,12000 KB,32800 KB,90000 KB,18700 KB,9400 KB,16200 KB,29400 KB,11600 KB,18300 KB,7700 KB,19400 KB,26000 KB,15200 KB,22500 KB,20200 KB,13700 KB,25700 KB,6800 KB,44500 KB,13100 KB,20500 KB,30300 KB,10000 KB,39600 KB,31900 KB,27900 KB,18900 KB,29900 KB,20400 KB,25100 KB,74100 KB,33700 KB,21300 KB,30400 KB,16100 KB,75100 KB,23000 KB,50500 KB,8400 KB,36400 KB,32100 KB,12300 KB,17500 KB,35200 KB,27300 KB,1000 KB,30200 KB,42100 KB,28800 KB,13900 KB,14900 KB,67000 KB,23400 KB,32600 KB,34300 KB,233900 KB,20700 KB,26300 KB,22000 KB,28700 KB,28000 KB,26600 KB,15900 KB,30700 KB,11400 KB,28300 KB,55400 KB,43100 KB,97900 KB,117500 KB,14300 KB,6900 KB,12800 KB,27400 KB,48000 KB,15000 KB,75300 KB,112700 KB,5900 KB,14800 KB,29300 KB,35500 KB,33800 KB,13300 KB,45000 KB,7800 KB,17000 KB,34800 KB,17100 KB,9900 KB,20100 KB,32900 KB,127200 KB,27500 KB,80200 KB,88000 KB,28400 KB,160500 KB,11900 KB,13800 KB,47000 KB,73300 KB,74300 KB,22200 KB,247500 KB,14000 KB,37100 KB,89000 KB,82300 KB,21600 KB,245600 KB,40400 KB,29800 KB,41700 KB,106100 KB,10400 KB,25300 KB,35800 KB,16800 KB,23200 KB,36100 KB,20000 KB,31300 KB,248500 KB,27700 KB,213300 KB,16000 KB,115600 KB,119500 KB}
@attribute country {India,'United States',Bangladesh,Unknown,China,Jordan,Vietnam,'South Korea',Iran,Brazil,Azerbaijan,Romania,Austria,Ukraine,Kazakhstan,'Hong Kong',Indonesia,Serbia,Mexico,Taiwan,Peru,Kenya,Egypt,Sweden,Singapore,Syria,Armenia,Croatia,Georgia,Poland,Tajikistan,Malaysia,Kuwait,Lebanon,Turkey,Moldova,Tunisia,Finland,Japan,Russia,Belarus,Lithuania,Bulgaria,Israel,Antarctica,France}
@attribute continent {Asia,'North America',Unknown,'South America',AsiaEurope,Europe,Africa,AsiaAfrica,Antarctica}
@attribute program_vocabulary numeric
@attribute program_length numeric
@attribute calculated_estimated_program_length numeric
@attribute volume numeric
@attribute difficulty numeric
@attribute effort numeric
@attribute loc numeric
@attribute slocP numeric
@attribute lsloc numeric
@attribute comments numeric
@attribute blankLine numeric
@attribute cyclomatic_complexity numeric
@attribute numberOfFunction numeric
@attribute gender {male,female}

@data
530 ms,19500 KB,India,Asia,55,224,263.619186,1295.024576,26.479167,34291.17158,35,28,25,7,3,10,2,male
389 ms,21100 KB,India,Asia,47,213,218.603359,1183.127425,25.6,30288.06209,50,41,36,9,5,8,2,male
108 ms,20900 KB,India,Asia,46,242,217.578653,1336.701993,35,46784.56977,45,36,29,9,7,10,2,male
108 ms,21800 KB,India,Asia,46,214,215.993287,1182.042259,31.166667,36840.31706,43,33,28,10,5,11,3,male
108 ms,18200 KB,'United States','North America',48,225,225.068365,1256.616563,41.8,52526.57232,41,35,32,6,3,10,2,male
373 ms,21100 KB,India,Asia,48,221,225.068365,1234.276713,25.3,31227.20083,54,40,30,14,10,10,2,male
561 ms,15700 KB,Bangladesh,Asia,51,211,240.710623,1196.881747,23.578947,28221.21172,35,33,33,2,0,10,2,male
592 ms,18600 KB,India,Asia,41,241,188.529325,1291.170033,26.666667,34431.20088,58,56,56,2,0,10,2,male
124 ms,27000 KB,Unknown,Unknown,51,248,241.523656,1406.761485,27.5,38685.94083,52,43,40,9,3,9,2,male
499 ms,20600 KB,India,Asia,41,239,192.625221,1280.454929,31.571429,40425.79133,56,51,50,5,1,11,2,male
530 ms,26400 KB,India,Asia,41,235,190.465006,1259.024721,26.8125,33757.60033,55,51,51,4,0,12,2,male
108 ms,11300 KB,China,Asia,77,403,405.776932,2525.514976,41.707317,105332.4539,35,30,30,5,0,20,2,male
108 ms,18200 KB,India,Asia,40,250,201.421245,1330.482024,19,25279.15845,59,49,46,10,3,11,2,male
436 ms,16700 KB,Jordan,Asia,52,258,248.032387,1470.713447,28.333333,41670.21434,46,30,22,16,8,10,2,male
545 ms,23500 KB,Bangladesh,Asia,47,246,221.079453,1366.428858,27.461538,37524.23863,60,46,38,14,8,9,2,male
343 ms,16700 KB,China,Asia,56,315,271.081232,1829.3168,27.818182,50888.26736,38,35,35,3,0,15,5,male
343 ms,16700 KB,China,Asia,56,315,271.081232,1829.3168,27.818182,50888.26736,38,35,35,3,0,15,5,male
529 ms,18600 KB,India,Asia,41,225,192.625221,1205.449201,38.857143,46840.31181,52,40,40,12,0,10,2,male
561 ms,25500 KB,India,Asia,49,252,231.577096,1414.906881,23.8,33674.78376,59,53,52,6,1,10,3,male
546 ms,18600 KB,India,Asia,43,238,203.524906,1291.451012,26.25,33900.58906,68,58,50,10,8,12,2,male
530 ms,16500 KB,China,Asia,53,315,254.583556,1804.294943,36.944444,66658.67429,59,55,55,4,0,16,3,male
608 ms,24400 KB,India,Asia,66,304,333.104991,1837.495812,41.774194,76759.90571,56,53,53,3,0,14,3,male
592 ms,32300 KB,India,Asia,49,240,232.827875,1347.530363,32.5,43794.73678,42,33,27,9,6,9,2,male
545 ms,18600 KB,India,Asia,58,295,284.224796,1728.104394,36.818182,63625.66176,59,54,53,5,1,13,3,male
77 ms,17600 KB,China,Asia,68,378,347.483062,2301.060954,22.142857,50952.06398,43,35,35,8,0,19,1,male
93 ms,14700 KB,Vietnam,Asia,67,323,340.736624,1959.346809,40.392857,79143.61573,53,42,35,11,7,18,1,male
109 ms,10800 KB,'South Korea',Asia,79,406,419.227106,2559.334984,45.809524,117241.9169,39,33,31,6,2,21,1,male
62 ms,17600 KB,China,Asia,68,391,347.483062,2380.197971,22.142857,52704.38364,43,35,35,8,0,19,1,male
561 ms,24500 KB,China,Asia,70,407,359.091037,2494.618188,54.529412,136030.0624,48,44,44,4,0,14,2,male
420 ms,25000 KB,India,Asia,38,250,188.1173,1311.981878,18,23615.67381,67,56,50,11,6,12,2,male
374 ms,15300 KB,Bangladesh,Asia,57,244,277.632401,1423.225163,26.25,37359.66054,44,39,37,5,2,10,2,male
577 ms,17600 KB,India,Asia,50,286,235.951874,1614.14287,33.970588,54833.3828,98,80,72,18,8,12,2,male
93 ms,15300 KB,Iran,Asia,64,252,321.131737,1512,33.574074,50764,40,31,30,9,1,10,2,male
108 ms,15700 KB,Brazil,'South America',63,302,314.130843,1805.138537,29.375,53025.94452,68,40,20,28,20,11,2,male
