time,memory,country,continent,program_vocabulary,program_length,calculated_estimated_program_length,volume,difficulty,effort,loc,slocP,lsloc,comments,blankLine,cyclomatic_complexity,numberOfFunction,gender
93 ms,47000 KB,India,Asia,62,263,307.3464548,1565.95363,23.32758621,36529.91829,31,24,24,7,0,15,3,male
156 ms,5600 KB,Mongolia,Asia,68,258,345.9899115,1570.565413,33.93939394,53304.03826,26,23,23,3,0,16,1,male
77 ms,67100 KB,India,Asia,50,313,235.9518742,1766.526987,24.26470588,42864.25778,48,42,39,6,3,18,2,male
202 ms,68100 KB,United States,North America,72,418,372.5956925,2579.028651,53.30769231,137482.0658,42,36,35,6,1,26,2,male
202 ms,68100 KB,India,Asia,72,418,372.5956925,2579.028651,53.30769231,137482.0658,41,36,36,5,0,26,2,male
248 ms,68100 KB,Serbia,Europe,72,418,372.5956925,2579.028651,53.30769231,137482.0658,41,36,36,5,0,26,2,male
77 ms,50600 KB,Poland,Europe,67,325,339.6973857,1971.478987,47.61290323,93867.83821,52,43,41,9,2,19,2,male
77 ms,72000 KB,India,Asia,50,345,235.9518742,1947.130385,24.26470588,47246.54612,57,51,51,6,0,34,2,male
77 ms,72000 KB,India,Asia,50,345,235.9518742,1947.130385,24.26470588,47246.54612,57,51,51,6,0,34,2,male
202 ms,35200 KB,India,Asia,65,424,326.4650059,2553.483953,49.5,126397.4557,66,58,58,8,0,25,3,male
62 ms,4700 KB,India,Asia,66,420,333.3240179,2538.64553,72,182782.4782,53,50,50,3,0,24,4,male
78 ms,67100 KB,Italy,Europe,60,408,295.1851693,2410.011363,56.23076923,135516.7928,65,50,43,15,7,30,2,male
46 ms,36800 KB,United States,North America,80,463,428.700868,2927.052708,34.79591837,101849.4871,59,50,48,9,2,26,2,male
61 ms,48600 KB,China,Asia,84,448,455.1665461,2863.758205,51,146051.6685,40,30,27,10,3,23,2,male
124 ms,4200 KB,India,Asia,61,328,301.3556992,1945.281847,26.44444444,51441.89772,36,27,23,9,4,21,1,male
92 ms,68000 KB,Mexico,North America,56,397,270.0391,2305.519904,56,129109.1146,64,55,50,9,5,24,2,male
62 ms,75500 KB,China,Asia,55,420,265.2124025,2428.17108,23.47619048,57004.20678,48,42,42,6,0,44,2,male
109 ms,115300 KB,South Korea,Asia,33,345,166.4650059,1740.315971,0,0,84,78,78,6,0,28,2,male
62 ms,43600 KB,China,Asia,70,448,359.0498112,2745.918792,36.5,100226.0359,77,60,53,17,7,31,2,male
186 ms,82000 KB,Unknown,Unknown,41,262,195.0346806,1403.678625,17.5,24564.37594,66,34,17,32,17,14,2,male
202 ms,69000 KB,China,Asia,54,399,258.7036718,2296.200113,46.35714286,106445.2767,83,78,78,5,0,34,2,male
62 ms,42900 KB,China,Asia,76,515,400.2149912,3217.682669,42.54545455,136897.7718,50,42,40,8,2,33,2,male
139 ms,99100 KB,Poland,Europe,75,405,392.6333688,2522.67157,37.31707317,94138.71955,52,39,33,13,6,22,2,male
46 ms,5800 KB,China,Asia,85,541,461.2380824,3467.480496,49.2244898,170684.9583,53,39,36,14,3,29,2,male
93 ms,36900 KB,Indonesia,Asia,73,424,379.3421297,2624.485613,42.9,112590.4328,59,46,42,13,4,17,2,male
77 ms,55400 KB,China,Asia,67,441,339.5249056,2675.145333,40.22857143,107617.2751,72,66,66,6,0,27,2,female
62 ms,55700 KB,China,Asia,84,514,455.1665461,3285.651155,41.14,135171.6885,59,54,54,5,0,27,3,male
77 ms,55500 KB,China,Asia,82,405,439.8831639,2574.808562,37.41111111,96326.4492,53,41,37,12,4,24,2,male
171 ms,52500 KB,South Korea,Asia,93,533,519.2878033,3485.371646,50.68965517,176672.2869,58,50,47,8,3,26,2,male
248 ms,121900 KB,Italy,Europe,60,453,294.4615345,2675.82144,49.58064516,132668.9533,63,55,52,8,3,32,2,male
77 ms,68000 KB,China,Asia,62,479,307.3464548,2852.060033,51.20689655,146045.1431,65,60,59,5,1,31,3,male
46 ms,16600 KB,Belarus,Europe,66,434,332.9300119,2623.267048,19.5,51153.70743,40,34,34,6,0,31,1,male
46 ms,7600 KB,India,Asia,53,350,255.6041684,2004.772159,25.41176471,50944.7984,80,74,74,6,0,31,1,female
62 ms,37000 KB,China,Asia,85,593,461.7177151,3800.768825,65.45,248760.3196,38,34,34,4,0,36,3,male
61 ms,5800 KB,Brazil,South America,67,424,339.6973857,2572.021817,54.58064516,140382.6101,64,45,30,19,15,20,1,male
249 ms,73900 KB,India,Asia,59,385,288.6764386,2264.817574,46.32692308,104922.0295,98,91,89,7,2,32,2,male
202 ms,41600 KB,South Korea,Asia,82,476,440.5905816,3026.194754,46.54255319,140846.8303,64,58,57,6,1,31,3,female
124 ms,115500 KB,United States,North America,70,398,360.0838417,2439.454641,71.33333333,174014.431,75,60,51,15,9,22,3,male
249 ms,68100 KB,Iran,Asia,71,457,365.6422056,2810.434434,43.26388889,121590.3231,69,56,52,13,4,32,2,male
62 ms,52400 KB,China,Asia,83,530,450.002951,3378.770899,42.625,144020.1096,55,46,46,9,0,34,2,male
92 ms,71100 KB,India,Asia,64,398,320.1804545,2388,64.6,154264.8,51,38,31,13,7,26,2,male
