@relation balanceGender

@attribute time numeric
@attribute memory numeric
@attribute continent {Asia,'North America',Europe,Unknown,'South America',AsiaEurope,AsiaAfrica,Australia,Africa,'South Africa',Antarctica,Antarctic}
@attribute program_vocabulary numeric
@attribute program_length numeric
@attribute calculated_estimated_program_length numeric
@attribute volume numeric
@attribute difficulty numeric
@attribute effort numeric
@attribute loc numeric
@attribute slocP numeric
@attribute lsloc numeric
@attribute comments numeric
@attribute blankLine numeric
@attribute cyclomatic_complexity numeric
@attribute numberOfFunction numeric
@attribute gender {male,female}

@data
93,47000,Asia,62,263,307.346455,1565.95363,23.327586,36529.91829,31,24,24,7,0,15,3,male
156,5600,Asia,68,258,345.989912,1570.565413,33.939394,53304.03826,26,23,23,3,0,16,1,male
77,67100,Asia,50,313,235.951874,1766.526987,24.264706,42864.25778,48,42,39,6,3,18,2,male
202,68100,'North America',72,418,372.595692,2579.028651,53.307692,137482.0658,42,36,35,6,1,26,2,male
202,68100,Asia,72,418,372.595692,2579.028651,53.307692,137482.0658,41,36,36,5,0,26,2,male
248,68100,Europe,72,418,372.595692,2579.028651,53.307692,137482.0658,41,36,36,5,0,26,2,male
77,50600,Europe,67,325,339.697386,1971.478987,47.612903,93867.83821,52,43,41,9,2,19,2,male
77,72000,Asia,50,345,235.951874,1947.130385,24.264706,47246.54612,57,51,51,6,0,34,2,male
77,72000,Asia,50,345,235.951874,1947.130385,24.264706,47246.54612,57,51,51,6,0,34,2,male
202,35200,Asia,65,424,326.465006,2553.483953,49.5,126397.4557,66,58,58,8,0,25,3,male
62,4700,Asia,66,420,333.324018,2538.64553,72,182782.4782,53,50,50,3,0,24,4,male
78,67100,Europe,60,408,295.185169,2410.011363,56.230769,135516.7928,65,50,43,15,7,30,2,male
46,36800,'North America',80,463,428.700868,2927.052708,34.795918,101849.4871,59,50,48,9,2,26,2,male
61,48600,Asia,84,448,455.166546,2863.758205,51,146051.6685,40,30,27,10,3,23,2,male
124,4200,Asia,61,328,301.355699,1945.281847,26.444444,51441.89772,36,27,23,9,4,21,1,male
92,68000,'North America',56,397,270.0391,2305.519904,56,129109.1146,64,55,50,9,5,24,2,male
62,75500,Asia,55,420,265.212402,2428.17108,23.47619,57004.20678,48,42,42,6,0,44,2,male
109,115300,Asia,33,345,166.465006,1740.315971,0,0,84,78,78,6,0,28,2,male
62,43600,Asia,70,448,359.049811,2745.918792,36.5,100226.0359,77,60,53,17,7,31,2,male
186,82000,Unknown,41,262,195.034681,1403.678625,17.5,24564.37594,66,34,17,32,17,14,2,male
202,69000,Asia,54,399,258.703672,2296.200113,46.357143,106445.2767,83,78,78,5,0,34,2,male
62,42900,Asia,76,515,400.214991,3217.682669,42.545455,136897.7718,50,42,40,8,2,33,2,male
139,99100,Europe,75,405,392.633369,2522.67157,37.317073,94138.71955,52,39,33,13,6,22,2,male
46,5800,Asia,85,541,461.238082,3467.480496,49.22449,170684.9583,53,39,36,14,3,29,2,male
93,36900,Asia,73,424,379.34213,2624.485613,42.9,112590.4328,59,46,42,13,4,17,2,male
77,55400,Asia,67,441,339.524906,2675.145333,40.228571,107617.2751,72,66,66,6,0,27,2,female
62,55700,Asia,84,514,455.166546,3285.651155,41.14,135171.6885,59,54,54,5,0,27,3,male
77,55500,Asia,82,405,439.883164,2574.808562,37.411111,96326.4492,53,41,37,12,4,24,2,male
171,52500,Asia,93,533,519.287803,3485.371646,50.689655,176672.2869,58,50,47,8,3,26,2,male
248,121900,Europe,60,453,294.461535,2675.82144,49.580645,132668.9533,63,55,52,8,3,32,2,male
77,68000,Asia,62,479,307.346455,2852.060033,51.206897,146045.1431,65,60,59,5,1,31,3,male
46,16600,Europe,66,434,332.930012,2623.267048,19.5,51153.70743,40,34,34,6,0,31,1,male
46,7600,Asia,53,350,255.604168,2004.772159,25.411765,50944.7984,80,74,74,6,0,31,1,female
62,37000,Asia,85,593,461.717715,3800.768825,65.45,248760.3196,38,34,34,4,0,36,3,male
61,5800,'South America',67,424,339.697386,2572.021817,54.580645,140382.6101,64,45,30,19,15,20,1,male
249,73900,Asia,59,385,288.676439,2264.817574,46.326923,104922.0295,98,91,89,7,2,32,2,male
202,41600,Asia,82,476,440.590582,3026.194754,46.542553,140846.8303,64,58,57,6,1,31,3,female
124,115500,'North America',70,398,360.083842,2439.454641,71.333333,174014.431,75,60,51,15,9,22,3,male
249,68100,Asia,71,457,365.642206,2810.434434,43.263889,121590.3231,69,56,52,13,4,32,2,male
62,52400,Asia,83,530,450.002951,3378.770899,42.625,144020.1096,55,46,46,9,0,34,2,male
92,71100,Asia,64,398,320.180454,2388,64.6,154264.8,51,38,31,13,7,26,2,male
46,4800,Asia,78,547,414.08385,3438.115014,38.608696,132741.1362,56,53,52,3,1,31,1,male
46,4800,Asia,59,428,288.676439,2517.771225,46.961538,118238.4102,82,64,62,18,2,26,1,male
249,40000,Asia,65,485,326.465006,2920.848389,67.393939,196847.4793,51,39,36,12,3,32,2,male
46,5600,Asia,59,426,289.070141,2506.005939,76.84,192561.4964,68,57,53,11,4,28,1,male
93,11700,Asia,89,509,489.17264,3296.148316,28.817308,94986.12023,49,43,43,6,0,32,2,male
77,42800,Europe,85,484,461.717715,3102.145213,33.6,104232.0792,59,43,39,16,4,31,2,male
61,36900,Europe,70,432,359.091037,2647.850263,48.705882,128965.8834,67,59,58,8,1,25,2,male
139,103600,Asia,76,613,399.451068,3829.979566,63.952381,244936.3122,47,36,31,11,5,40,3,female
264,145200,Asia,41,367,188.529325,1966.221586,17.777778,34955.05041,73,54,44,19,10,30,3,female
436,82900,Asia,60,488,294.846969,2882.562611,70.277778,202580.0946,68,54,46,14,8,34,4,male
46,5500,Asia,59,477,288.186023,2806.020735,54.25,152226.6248,50,42,38,8,4,31,1,male
93,68000,Europe,68,453,346.1173,2757.620667,61.875,170627.7788,49,43,42,6,1,35,3,male
93,63400,Asia,59,370,288.676439,2176.577928,30.461538,66301.91228,62,54,52,8,2,24,2,female
62,38800,Asia,64,478,320.045092,2868,76.645161,219818.3226,70,56,49,14,7,27,3,male
77,68000,Europe,66,486,334.027183,2937.575542,73.964286,217275.6767,93,69,51,24,18,34,3,male
218,33200,Asia,83,521,450.002951,3321.395544,36.365385,120783.8264,74,56,56,18,0,25,2,female
46,5600,Asia,52,429,249.011774,2445.488639,71.029412,173701.6195,70,63,59,7,4,33,1,male
62,21400,'North America',42,393,210.885574,2119.180747,19.5,41324.02457,47,38,38,9,0,23,1,male
46,8500,Asia,58,564,282.211433,3303.901281,80.615385,266345.2725,68,62,61,6,1,34,1,male
61,55600,Asia,73,459,378.867075,2841.129473,43.297297,123013.2274,55,47,47,8,0,29,2,female
93,83700,Europe,53,482,252.238666,2760.857659,51.047619,140935.21,86,61,42,25,19,37,2,male
186,85400,'North America',74,529,385.499549,3284.80083,67.5,221724.0561,56,47,47,9,0,33,3,male
92,82700,Asia,53,450,253.684359,2577.564205,35.789474,92249.66627,91,73,65,18,8,37,2,male
77,68000,'North America',65,558,326.553822,3360.48124,56.073529,188434.0436,74,63,59,11,4,29,2,male
109,72300,Europe,58,449,283.566831,2630.233467,92.065217,242153.0159,67,60,56,7,4,26,2,male
77,70100,Asia,84,468,453.092115,2991.604554,51.363636,153659.6884,51,39,37,12,2,28,3,male
109,75500,Asia,68,573,346.1173,3488.116208,88.444444,308504.5002,53,47,45,6,2,30,2,male
124,107100,Asia,68,438,346.32986,2666.308724,56.096774,149571.3184,88,69,62,19,7,31,4,male
46,3900,Asia,72,378,372.595692,2332.231651,33.090909,77175.66553,78,54,46,24,8,15,2,female
61,55700,Asia,79,545,419.227106,3435.560508,47.130952,161921.2387,72,62,61,10,1,36,3,male
77,46400,Asia,78,476,412.85429,2991.851456,53.313953,159507.4294,72,55,49,17,6,25,3,male
77,68800,AsiaEurope,62,431,308.846179,2566.25861,41.44,106345.7568,62,54,52,8,2,34,2,male
108,68500,AsiaEurope,72,556,372.595692,3430.478301,73.272727,251360.5009,74,66,66,8,0,35,2,male
62,71000,Asia,79,478,419.080878,3013.207198,39.390244,118690.9664,64,50,50,14,0,21,3,male
77,36300,Asia,99,535,561.909946,3546.705792,54.903226,194725.589,52,37,33,15,4,24,3,male
202,37800,Asia,75,520,392.942338,3238.985719,64.428571,208683.2228,80,57,42,23,15,32,3,male
46,35900,AsiaEurope,76,558,398.994424,3486.343553,73.8,257292.1542,62,51,51,11,0,29,2,male
31,13700,Asia,77,541,405.551932,3390.331519,47.74359,161866.5971,56,43,43,13,0,24,1,female
46,13700,Asia,77,541,405.551932,3390.331519,47.74359,161866.5971,56,43,43,13,0,24,1,female
46,8700,Asia,89,592,487.997906,3833.634191,50.612245,194028.8325,55,43,38,12,5,28,4,male
46,5300,Europe,63,258,314.499263,1542.13822,34,52432.69949,65,44,31,21,13,18,1,male
61,36900,Europe,78,469,414.08385,2947.853641,34.434783,101508.6993,55,43,38,12,5,32,2,male
46,3700,Europe,65,450,326.465006,2710.065516,55.757576,151106.6833,85,66,53,19,13,22,2,male
156,7600,AsiaEurope,55,402,263.303123,2324.106605,63.6,147813.1801,60,53,50,7,3,27,1,female
93,38800,Asia,86,544,467.196363,3495.888027,60.159574,210311.1361,67,44,41,23,3,29,5,male
61,35900,Asia,75,541,392.402029,3369.790912,33.6875,113519.8313,70,46,33,24,13,30,2,male
109,83600,Asia,59,427,288.676439,2511.888582,74.884615,188101.8104,61,51,47,10,4,27,2,male
124,99900,'North America',65,454,327.355712,2734.154987,86.553571,236650.879,67,58,54,9,4,28,2,male
46,4600,Europe,75,558,392.402029,3475.680829,83.125,288915.9689,48,38,36,10,2,29,1,male
46,4700,AsiaEurope,72,504,372.2346,3109.642201,91.5,284532.2614,74,54,40,20,14,25,5,male
124,100000,'South America',81,485,433.608756,3074.827251,42.98913,132184.1498,64,47,37,17,10,25,2,male
108,103700,Europe,63,489,314.499263,2922.889883,87.333333,255265.7164,68,59,59,9,0,28,3,female
77,37800,Asia,80,446,425.754248,2819.57993,56.5,159306.2661,53,39,37,14,2,19,3,male
140,4800,Europe,61,495,301.355699,2935.714982,54.777778,160811.9429,72,65,64,7,1,26,1,male
77,42900,Asia,83,526,446.833624,3353.270741,67.565217,226564.4666,61,57,57,4,0,35,4,male
