time(ms),time,memory(KB),memory,country,continent,program_vocabulary,program_length,calculated_estimated_program_length,volume,difficulty,effort,loc,slocP,lsloc,comments,blankLine,cyclomatic_complexity,numberOfFunction,gender
4898 ms,4898,15400 KB,15400,France,Europe,50,245,232.1928095,1382.744766,32,44247.83253,17,14,13,3,1,8,1,male
3462 ms,3462,0 KB,0,China,Asia,54,249,256.8173705,1432.966988,27.46153846,39351.47806,24,21,21,3,0,13,3,male
3353 ms,3353,11600 KB,11600,Unknown,Unknown,52,257,244.4783673,1465.013008,24.53703704,35947.07843,36,30,28,6,2,10,1,male
670 ms,670,18800 KB,18800,Indonesia,Asia,68,280,346.1173001,1704.489596,38.25,65196.72703,31,28,28,3,0,13,2,male
702 ms,702,14100 KB,14100,India,Asia,66,271,333.6312234,1638.030806,39.55172414,64786.94258,35,31,31,4,0,13,2,female
1528 ms,1528,11800 KB,11800,Syria,Asia,66,255,333.3240179,1541.3205,37.2,57337.12262,38,31,29,7,2,14,2,male
1309 ms,1309,10600 KB,10600,China,Asia,55,280,264.5725015,1618.78072,28.5,46135.25051,27,15,15,12,0,4,1,female
1669 ms,1669,11600 KB,11600,China,Asia,55,256,262.9879004,1480.028087,26.03571429,38533.5884,44,27,19,17,8,9,1,female
561 ms,561,9400 KB,9400,China,Asia,81,381,433.2506894,2415.482851,53.2,128503.6877,31,27,27,4,0,17,2,male
1325 ms,1325,9400 KB,9400,China,Asia,65,279,328.3421192,1680.24062,43.5,73090.46696,35,31,31,4,0,15,2,male
623 ms,623,11800 KB,11800,Unknown,Unknown,79,335,419.4466845,2111.766551,41.02325581,86631.53943,34,29,29,5,0,14,2,male
748 ms,748,11800 KB,11800,China,Asia,77,299,405.551932,1873.769176,34.89473684,65384.68229,34,25,25,9,0,8,2,male
779 ms,779,10600 KB,10600,India,Asia,60,262,295.1851693,1547.605336,38.57692308,59701.852,47,37,31,10,6,14,2,male
592 ms,592,12900 KB,12900,China,Asia,72,324,372.2746801,1999.0557,39.64285714,79248.27955,41,36,36,5,0,13,2,male
1419 ms,1419,75100 KB,75100,Iran,Asia,56,241,271.0812322,1399.572536,35.54545455,49748.44197,38,29,27,9,2,6,1,male
529 ms,529,11800 KB,11800,China,Asia,78,338,412.4094067,2124.46595,56.85365854,120783.6617,37,28,24,9,4,14,2,male
