@relation 1288D_Region

@attribute time {4898 ms,3462 ms,670 ms,702 ms,1528 ms,1309 ms,1669 ms,561 ms,1325 ms,748 ms,779 ms,592 ms,1419 ms,529 ms,686 ms,1372 ms,997 ms,1075 ms,623 ms,4476 ms,483 ms,888 ms,764 ms,4383 ms,810 ms,904 ms,732 ms,2121 ms,1247 ms,4507 ms,1731 ms,2386 ms,794 ms,4679 ms,717 ms,1762 ms,701 ms,514 ms,2090 ms,795 ms,576 ms,1730 ms,857 ms,4601 ms,841 ms,966 ms,1481 ms,1060 ms,1450 ms,1263 ms,4741 ms,4414 ms,935 ms,826 ms,889 ms,4430 ms,4976 ms,1715 ms,1138 ms,2713 ms,920 ms,4508 ms,950 ms,2511 ms,873 ms,1201 ms,499 ms,811 ms,685 ms,4367 ms,2760 ms,780 ms,1278 ms,4945 ms,4555 ms,2745 ms,4492 ms,639 ms,951 ms,1045 ms,1622 ms,467 ms,3291 ms,4351 ms,249 ms,936 ms,1029 ms,577 ms,1014 ms,4586 ms,1465 ms,2168 ms,998 ms,1466 ms,1294 ms,1747 ms,1200 ms,655 ms,2011 ms,654 ms,763 ms,2120 ms,4554 ms,1185 ms,4320 ms,4461 ms,4585 ms,2043 ms,2666 ms,3447 ms,4289 ms,4242 ms,967 ms,4305 ms,2214 ms,1248 ms,1013 ms,2963 ms,2074 ms,1357 ms,4819 ms,2012 ms,4866 ms,498 ms,3151 ms,3275 ms,4617 ms,1107 ms,1700 ms,1170 ms,4008 ms,3057 ms,607 ms,2262 ms,3197 ms,4538 ms,1091 ms,842 ms,1122 ms,4632 ms,3072 ms,4149 ms,1388 ms,4695 ms,1950 ms,4368 ms,1590 ms,4616 ms,4399 ms,2573 ms,2885 ms,4274 ms,1434 ms,733 ms,4429 ms,716 ms,3758 ms,2901 ms,3276 ms,1153 ms,1216 ms,1310 ms,1387 ms,2059 ms,3228 ms,4477 ms,3354 ms}
@attribute memory {15400 KB,0 KB,18800 KB,14100 KB,11800 KB,10600 KB,11600 KB,9400 KB,12900 KB,75100 KB,39100 KB,9500 KB,300600 KB,18900 KB,29400 KB,10900 KB,21100 KB,15700 KB,12300 KB,19600 KB,35200 KB,24900 KB,166600 KB,1200 KB,15300 KB,9800 KB,11700 KB,24500 KB,23500 KB,100 KB,16600 KB,11900 KB,15500 KB,12200 KB,28200 KB,21700 KB,16800 KB,13200 KB,25800 KB,10700 KB,10800 KB,21300 KB,39500 KB,14200 KB,22600 KB,19700 KB,9700 KB,72800 KB,62800 KB,19100 KB,42500 KB,20700 KB,19800 KB,21200 KB,15200 KB,9600 KB,16700 KB,22100 KB,3700 KB,12500 KB,30300 KB,23400 KB,323400 KB,17800 KB,16400 KB,13800 KB,21500 KB,310000 KB,84600 KB,60000 KB,23600 KB,34100 KB,83300 KB,13100 KB,26100 KB,90600 KB,36400 KB,16300 KB,19000 KB,29500 KB,59900 KB,27100 KB,17300 KB,41100 KB,369900 KB,10500 KB,18500 KB,26400 KB,109900 KB,34800 KB,73900 KB,27300 KB,25000 KB,16200 KB,16900 KB,28400 KB,19900 KB,37800 KB,33600 KB}
@attribute country {France,China,Indonesia,India,Syria,Iran,Kyrgyzstan,Taiwan,Finland,Serbia,'South Korea',Argentina,'Hong Kong',Austria,Mexico,Brazil,Romania,Ukraine,Bangladesh,'United States',Norway,Belarus,Spain,Italy,Vietnam,Uzbekistan,Peru,Estonia,Philippines,Mongolia,Latvia,Hungary,Poland,Chile,Portugal,Tajikistan,Singapore,Croatia,Slovenia,Colombia,Germany,Lithuania,Cuba,Czechia,Sweden,Bulgaria,'Serbia and Montenegro',Macedonia,Venezuela,Canada,'Bosnia and Herzegovina',Armenia}
@attribute continent {Europe,Asia,America}
@attribute program_vocabulary numeric
@attribute program_length numeric
@attribute calculated_estimated_program_length numeric
@attribute volume numeric
@attribute difficulty numeric
@attribute effort numeric
@attribute loc numeric
@attribute slocP numeric
@attribute lsloc numeric
@attribute comments numeric
@attribute blankLine numeric
@attribute cyclomatic_complexity numeric
@attribute numberOfFunction numeric
@attribute gender {male,female}

@data
4898 ms,15400 KB,France,Europe,50,245,232.19281,1382.744766,32,44247.83253,17,14,13,3,1,8,1,male
3462 ms,0 KB,China,Asia,54,249,256.81737,1432.966988,27.461538,39351.47806,24,21,21,3,0,13,3,male
670 ms,18800 KB,Indonesia,Asia,68,280,346.1173,1704.489596,38.25,65196.72703,31,28,28,3,0,13,2,male
702 ms,14100 KB,India,Asia,66,271,333.631223,1638.030806,39.551724,64786.94258,35,31,31,4,0,13,2,female
1528 ms,11800 KB,Syria,Asia,66,255,333.324018,1541.3205,37.2,57337.12262,38,31,29,7,2,14,2,male
1309 ms,10600 KB,China,Asia,55,280,264.572501,1618.78072,28.5,46135.25051,27,15,15,12,0,4,1,female
1669 ms,11600 KB,China,Asia,55,256,262.9879,1480.028087,26.035714,38533.5884,44,27,19,17,8,9,1,female
561 ms,9400 KB,China,Asia,81,381,433.250689,2415.482851,53.2,128503.6877,31,27,27,4,0,17,2,male
1325 ms,9400 KB,China,Asia,65,279,328.342119,1680.24062,43.5,73090.46696,35,31,31,4,0,15,2,male
748 ms,11800 KB,China,Asia,77,299,405.551932,1873.769176,34.894737,65384.68229,34,25,25,9,0,8,2,male
779 ms,10600 KB,India,Asia,60,262,295.185169,1547.605336,38.576923,59701.852,47,37,31,10,6,14,2,male
592 ms,12900 KB,China,Asia,72,324,372.27468,1999.0557,39.642857,79248.27955,41,36,36,5,0,13,2,male
1419 ms,75100 KB,Iran,Asia,56,241,271.081232,1399.572536,35.545455,49748.44197,38,29,27,9,2,6,1,male
529 ms,11800 KB,China,Asia,78,338,412.409407,2124.46595,56.853659,120783.6617,37,28,24,9,4,14,2,male
686 ms,9400 KB,Kyrgyzstan,Asia,60,250,296.791699,1476.722649,25.73913,38009.55688,32,27,27,5,0,14,2,male
779 ms,10600 KB,Taiwan,Asia,64,277,320.723238,1662,36,59832,44,33,28,11,5,14,2,male
1372 ms,39100 KB,China,Asia,63,269,316.169787,1607.888299,44.6875,71852.50838,39,35,35,4,0,13,2,male
1419 ms,9500 KB,Finland,Europe,62,312,307.206718,1857.709249,43.2,80253.03955,54,38,27,16,11,14,3,male
997 ms,300600 KB,China,Asia,63,301,313.855186,1799.161257,27.294118,49106.51901,51,44,44,7,0,10,2,male
1075 ms,18900 KB,India,Asia,39,246,190.872188,1300.208946,18,23403.76103,47,40,37,7,3,13,3,male
592 ms,11800 KB,China,Asia,64,321,322.227091,1926,31.2,60091.2,46,41,41,5,0,15,2,male
623 ms,11800 KB,China,Asia,64,323,322.227091,1938,31.2,60465.6,46,41,41,5,0,15,2,male
4476 ms,29400 KB,India,Asia,54,256,257.245818,1473.251201,36.25,53405.35602,49,32,22,17,10,6,2,female
483 ms,10900 KB,China,Asia,66,316,333.104991,1910.028542,49.112903,93807.04693,52,46,46,6,0,17,3,male
592 ms,39100 KB,China,Asia,65,287,329.698732,1728.419562,46.979167,81199.71069,39,33,33,6,0,13,2,male
888 ms,21100 KB,Syria,Asia,53,261,253.684359,1494.987239,38.473684,57517.66692,29,25,25,4,0,13,1,male
779 ms,15700 KB,Serbia,Europe,59,234,290.85727,1376.538474,26.909091,37041.39892,39,32,29,7,3,14,2,female
764 ms,15400 KB,'South Korea',Asia,70,322,359.214781,1973.629131,42.606061,84088.56239,42,34,30,8,4,15,2,male
4383 ms,12300 KB,'South Korea',Asia,66,326,333.104991,1970.472483,50.241935,99000.35136,42,35,35,7,0,17,2,male
748 ms,10600 KB,China,Asia,65,331,326.553822,1993.403746,62.516129,124619.8858,45,43,43,2,0,16,2,male
1325 ms,12900 KB,China,Asia,59,332,288.186023,1953.037492,43.806452,85555.64241,43,34,31,9,3,10,1,male
810 ms,19600 KB,China,Asia,63,273,314.961207,1631.797419,41.980769,68504.11088,58,51,51,7,0,14,2,male
904 ms,35200 KB,'South Korea',Asia,52,268,251.353134,1527.717844,46.866667,71599.04298,52,40,35,12,5,14,2,male
670 ms,9500 KB,Argentina,America,68,259,346.627963,1576.652876,36.1,56917.16882,43,29,22,14,7,7,2,male
