@relation 1304E_Region

@attribute time {546 ms,404 ms,452 ms,389 ms,343 ms,686 ms,327 ms,1778 ms,576 ms,623 ms,421 ms,390 ms,467 ms,1107 ms,499 ms,436 ms,202 ms,312 ms,498 ms,280 ms,530 ms,1232 ms,405 ms,1154 ms,732 ms,842 ms,1216 ms,1762 ms,311 ms,374 ms,1606 ms,1590 ms,1716 ms,1699 ms,249 ms,265 ms,1496 ms,342 ms,1294 ms,545 ms,451 ms,1559 ms,764 ms,655 ms,468 ms,826 ms,373 ms,811 ms,607 ms,857 ms,514 ms,420 ms,577 ms,358 ms,1482 ms,483 ms,1138 ms,1622 ms,1357 ms,295 ms,233 ms,592 ms,1153 ms,748 ms,701 ms,1310 ms,920 ms,296 ms,1544 ms,561 ms,654 ms,1887 ms,1466 ms,1528 ms,795 ms,997 ms,1700 ms,1309 ms,1575 ms,841 ms,560 ms,702 ms,966 ms,1669 ms,763 ms,1465 ms,935 ms,1263 ms,998 ms,779 ms,234 ms,624 ms,1372 ms,670 ms,1341 ms,716 ms,529 ms,2355 ms,1169 ms,733 ms,810 ms,873 ms,1450 ms,639 ms,1684 ms,780 ms,717 ms,1434 ms,1045 ms,608 ms,1871 ms,1231 ms,218 ms}
@attribute memory {13500 KB,16100 KB,14600 KB,15000 KB,21000 KB,14500 KB,92400 KB,13300 KB,39500 KB,12500 KB,17800 KB,17600 KB,15600 KB,11900 KB,15800 KB,22300 KB,10500 KB,26200 KB,20100 KB,56000 KB,25000 KB,20500 KB,14900 KB,17000 KB,16000 KB,19900 KB,30000 KB,32000 KB,15900 KB,13700 KB,11400 KB,9800 KB,18300 KB,18900 KB,16200 KB,34600 KB,19300 KB,24000 KB,19400 KB,139300 KB,17200 KB,221700 KB,21400 KB,13100 KB,14200 KB,18700 KB,72900 KB,27500 KB,74400 KB,26600 KB,7000 KB,23500 KB,11800 KB,16600 KB,15700 KB,12900 KB,17400 KB,24200 KB,59600 KB,10900 KB,12200 KB,15400 KB,14100 KB,92500 KB,17100 KB,20200 KB,27700 KB,27100 KB,13000 KB,22900 KB,39600 KB,15500 KB,22700 KB,23600 KB,15100 KB,25500 KB,18500 KB,73000 KB,36800 KB,18100 KB,9500 KB,49900 KB,27900 KB,42000 KB,16800 KB,18200 KB,30700 KB,20300 KB,169900 KB,156700 KB,211600 KB,41900 KB,34100 KB,22500 KB,68500 KB,77100 KB,41800 KB,25600 KB,21700 KB,29100 KB,19800 KB,18000 KB,29000 KB,13900 KB,65400 KB,24800 KB,38800 KB,19000 KB,36500 KB,23800 KB,25700 KB,21600 KB,41300 KB,21300 KB,24400 KB,27600 KB,28500 KB,37300 KB,58900 KB,22100 KB,31400 KB,17900 KB,10700 KB,20800 KB,30800 KB,32200 KB,16900 KB,19600 KB,18600 KB,35200 KB,74000 KB,22800 KB,30200 KB,26400 KB,16500 KB,45800 KB,20400 KB,39100 KB,32300 KB,41600 KB}
@attribute country {Peru,China,Serbia,'North Korea',India,Brazil,Vietnam,Syria,Iran,Canada,Kyrgyzstan,'South Korea',Indonesia,Italy,Lebanon,Turkmenistan,Argentina,Bangladesh,Taiwan,Singapore,Ukraine,Poland,Croatia,Chile,Latvia,Colombia,Romania,Belarus,'El Salvador',Finland,France,'United States',Lithuania,Armenia,'Bosnia and Herzegovina',Greece,Hungary,Cuba,Germany,Macedonia,Spain,Mexico,Venezuela,'Saint Pierre and Miquelon'}
@attribute continent {America,Asia,Europe}
@attribute program_vocabulary numeric
@attribute program_length numeric
@attribute calculated_estimated_program_length numeric
@attribute volume numeric
@attribute difficulty numeric
@attribute effort numeric
@attribute loc numeric
@attribute slocP numeric
@attribute lsloc numeric
@attribute comments numeric
@attribute blankLine numeric
@attribute cyclomatic_complexity numeric
@attribute numberOfFunction numeric
@attribute gender {male,female}

@data
546 ms,13500 KB,Peru,America,68,468,347.012135,2848.93261,63.206897,180072.1887,44,34,33,10,1,15,5,male
404 ms,16100 KB,China,Asia,81,496,433.608756,3144.565601,51.73913,162697.0898,40,35,33,5,2,21,4,male
452 ms,14600 KB,Serbia,Europe,94,581,524.633121,3808.216123,66.839286,254538.4455,44,37,37,7,0,18,5,male
389 ms,15000 KB,China,Asia,68,472,346.1173,2873.282461,54,155157.2529,62,55,55,7,0,19,4,male
343 ms,15000 KB,'North Korea',Asia,68,472,346.1173,2873.282461,54,155157.2529,63,55,54,8,1,19,4,male
686 ms,21000 KB,India,Asia,90,525,494.780415,3408.222876,66.520408,226716.3768,48,43,43,5,0,25,5,male
327 ms,14500 KB,China,Asia,69,461,352.749775,2816.029775,53.765625,151405.6008,70,65,65,5,0,23,5,female
1778 ms,13500 KB,Brazil,America,70,462,359.214781,2831.728754,64.469697,182560.6947,64,59,59,5,0,21,5,male
576 ms,92400 KB,China,Asia,73,489,378.867075,3026.824209,60.638889,183543.2569,60,53,53,7,0,21,5,female
623 ms,92400 KB,China,Asia,73,492,378.867075,3045.393683,61.152778,186234.2831,61,54,54,7,0,21,5,female
327 ms,13300 KB,India,Asia,82,541,440.20115,3439.435634,57.130435,196496.4532,66,59,59,7,0,22,6,male
421 ms,39500 KB,China,Asia,102,650,582.699322,4337.076472,63.142857,273855.4001,41,0,0,41,0,0,6,male
390 ms,12500 KB,China,Asia,81,538,432.964766,3410.839302,47.931818,163487.7292,55,52,52,3,0,23,5,female
467 ms,17800 KB,Vietnam,Asia,64,411,320.723238,2466,52.071429,128408.1429,56,50,50,6,0,20,5,male
1107 ms,17600 KB,Syria,Asia,72,460,372.27468,2838.165501,51.271429,145516.7997,65,55,50,10,5,21,4,male
499 ms,17600 KB,China,Asia,71,494,365.642206,3037.975077,46.666667,141772.1703,79,73,73,6,0,23,4,male
436 ms,15600 KB,China,Asia,73,523,378.867075,3237.278244,57.405405,185837.27,61,49,47,12,2,23,4,male
202 ms,11900 KB,China,Asia,82,488,440.20115,3102.485378,72.782609,225806.9793,53,42,35,11,7,16,5,male
421 ms,15800 KB,China,Asia,74,402,385.655592,2496.200253,50.7,126557.3528,49,40,39,9,1,17,3,female
452 ms,15800 KB,China,Asia,74,402,385.655592,2496.200253,50.7,126557.3528,50,40,38,10,2,17,3,female
312 ms,13300 KB,China,Asia,78,579,412.594632,3639.247885,58.285714,212116.1624,55,51,51,4,0,23,5,male
498 ms,22300 KB,China,Asia,72,502,372.27468,3097.302351,57.085714,176811.717,77,69,69,8,0,23,5,female
280 ms,10500 KB,China,Asia,65,507,326.998749,3053.340481,53.37931,162985.2091,74,69,69,5,0,22,7,male
530 ms,14500 KB,China,Asia,77,515,405.626898,3227.395068,51.8,167179.0645,60,46,43,14,3,21,4,male
452 ms,26200 KB,China,Asia,60,506,295.62131,2988.886641,42,125533.2389,61,57,57,4,0,22,4,male
1232 ms,15800 KB,China,Asia,79,465,419.080878,2931.258048,64.736842,189760.3894,69,51,43,18,8,21,5,male
405 ms,20100 KB,China,Asia,72,528,372.27468,3257.720401,54.391892,177193.5759,76,67,67,9,0,20,6,female
1154 ms,56000 KB,China,Asia,87,536,473.743482,3453.417714,64.173913,221619.3281,65,0,0,65,0,0,6,male
732 ms,25000 KB,China,Asia,74,471,385.499549,2924.652535,52.5,153544.2581,56,45,39,11,6,22,4,male
498 ms,15800 KB,Iran,Asia,82,508,439.319264,3229.636418,68.5,221230.0947,69,55,48,14,7,19,4,male
842 ms,20500 KB,China,Asia,74,470,385.655592,2918.443082,62.957143,183736.838,91,75,74,16,1,21,5,male
1216 ms,14900 KB,China,Asia,78,490,412.261373,3079.847087,50.5,155532.2779,57,49,49,8,0,24,4,male
