time,memory,country,continent,program_vocabulary,program_length,calculated_estimated_program_length,volume,difficulty,effort,loc,slocP,lsloc,comments,blankLine,cyclomatic_complexity,numberOfFunction,gender
546 ms,13500 KB,Peru,America,68,468,347.0121354,2848.93261,63.20689655,180072.1887,44,34,33,10,1,15,5,male
404 ms,16100 KB,China,Asia,81,496,433.6087556,3144.565601,51.73913043,162697.0898,40,35,33,5,2,21,4,male
452 ms,14600 KB,Serbia,Europe,94,581,524.6331211,3808.216123,66.83928571,254538.4455,44,37,37,7,0,18,5,male
389 ms,15000 KB,China,Asia,68,472,346.1173001,2873.282461,54,155157.2529,62,55,55,7,0,19,4,male
343 ms,15000 KB,North Korea,Asia,68,472,346.1173001,2873.282461,54,155157.2529,63,55,54,8,1,19,4,male
686 ms,21000 KB,India,Asia,90,525,494.7804146,3408.222876,66.52040816,226716.3768,48,43,43,5,0,25,5,male
327 ms,14500 KB,China,Asia,69,461,352.7497745,2816.029775,53.765625,151405.6008,70,65,65,5,0,23,5,female
1778 ms,13500 KB,Brazil,America,70,462,359.2147805,2831.728754,64.46969697,182560.6947,64,59,59,5,0,21,5,male
576 ms,92400 KB,China,Asia,73,489,378.8670746,3026.824209,60.63888889,183543.2569,60,53,53,7,0,21,5,female
623 ms,92400 KB,China,Asia,73,492,378.8670746,3045.393683,61.15277778,186234.2831,61,54,54,7,0,21,5,female
327 ms,13300 KB,India,Asia,82,541,440.20115,3439.435634,57.13043478,196496.4532,66,59,59,7,0,22,6,male
421 ms,39500 KB,China,Asia,102,650,582.6993217,4337.076472,63.14285714,273855.4001,41,0,0,41,0,0,6,male
390 ms,12500 KB,China,Asia,81,538,432.9647657,3410.839302,47.93181818,163487.7292,55,52,52,3,0,23,5,female
467 ms,17800 KB,Vietnam,Asia,64,411,320.7232379,2466,52.07142857,128408.1429,56,50,50,6,0,20,5,male
1107 ms,17600 KB,Syria,Asia,72,460,372.2746801,2838.165501,51.27142857,145516.7997,65,55,50,10,5,21,4,male
499 ms,17600 KB,China,Asia,71,494,365.6422056,3037.975077,46.66666667,141772.1703,79,73,73,6,0,23,4,male
436 ms,15600 KB,China,Asia,73,523,378.8670746,3237.278244,57.40540541,185837.27,61,49,47,12,2,23,4,male
202 ms,11900 KB,China,Asia,82,488,440.20115,3102.485378,72.7826087,225806.9793,53,42,35,11,7,16,5,male
421 ms,15800 KB,China,Asia,74,402,385.6555921,2496.200253,50.7,126557.3528,49,40,39,9,1,17,3,female
452 ms,15800 KB,China,Asia,74,402,385.6555921,2496.200253,50.7,126557.3528,50,40,38,10,2,17,3,female
312 ms,13300 KB,China,Asia,78,579,412.5946318,3639.247885,58.28571429,212116.1624,55,51,51,4,0,23,5,male
498 ms,22300 KB,China,Asia,72,502,372.2746801,3097.302351,57.08571429,176811.717,77,69,69,8,0,23,5,female
280 ms,10500 KB,China,Asia,65,507,326.9987489,3053.340481,53.37931034,162985.2091,74,69,69,5,0,22,7,male
530 ms,14500 KB,China,Asia,77,515,405.6268983,3227.395068,51.8,167179.0645,60,46,43,14,3,21,4,male
452 ms,26200 KB,China,Asia,60,506,295.6213103,2988.886641,42,125533.2389,61,57,57,4,0,22,4,male
1232 ms,15800 KB,China,Asia,79,465,419.0808777,2931.258048,64.73684211,189760.3894,69,51,43,18,8,21,5,male
405 ms,20100 KB,China,Asia,72,528,372.2746801,3257.720401,54.39189189,177193.5759,76,67,67,9,0,20,6,female
1154 ms,56000 KB,China,Asia,87,536,473.7434822,3453.417714,64.17391304,221619.3281,65,0,0,65,0,0,6,male
732 ms,25000 KB,China,Asia,74,471,385.4995491,2924.652535,52.5,153544.2581,56,45,39,11,6,22,4,male
498 ms,15800 KB,Iran,Asia,82,508,439.3192644,3229.636418,68.5,221230.0947,69,55,48,14,7,19,4,male
842 ms,20500 KB,China,Asia,74,470,385.6555921,2918.443082,62.95714286,183736.838,91,75,74,16,1,21,5,male
1216 ms,14900 KB,China,Asia,78,490,412.2613731,3079.847087,50.5,155532.2779,57,49,49,8,0,24,4,male
1762 ms,17000 KB,Canada,America,84,497,452.9890166,3176.981759,61.02325581,193869.7706,67,53,47,14,6,23,3,male
311 ms,16000 KB,China,Asia,103,635,588.2523093,4245.927835,72.63934426,308421.4137,50,33,32,17,1,24,6,male
374 ms,19900 KB,China,Asia,80,541,425.7903187,3420.163099,70.3902439,240746.1147,61,49,44,12,5,21,4,male
1606 ms,30000 KB,Kyrgyzstan,Asia,82,442,439.6362367,2810.037986,49.65909091,139543.9318,85,72,66,13,6,19,5,male
1590 ms,32000 KB,Kyrgyzstan,Asia,82,442,439.6362367,2810.037986,49.65909091,139543.9318,85,72,66,13,6,19,5,male
1716 ms,13500 KB,China,Asia,70,462,359.2147805,2831.728754,64.46969697,182560.6947,64,59,59,5,0,21,5,male
374 ms,15900 KB,South Korea,Asia,89,495,487.4132344,3205.488048,62.63043478,200761.1102,56,42,35,14,7,23,5,male
421 ms,15600 KB,China,Asia,97,616,545.8935843,4065.546311,55.81034483,226899.5415,41,36,36,5,0,23,5,male
421 ms,13700 KB,China,Asia,80,526,426.079159,3325.334178,44.74418605,148789.3711,79,74,74,5,0,22,5,female
1699 ms,32000 KB,Kyrgyzstan,Asia,82,445,439.6362367,2829.110642,49.65909091,140491.0626,86,72,66,14,6,19,5,male
249 ms,19900 KB,Indonesia,Asia,75,496,392.17102,3089.49407,56.96052632,175979.2083,64,57,57,7,0,21,5,male
265 ms,11400 KB,China,Asia,98,639,553.2066264,4226.79959,69.07627119,291971.5548,56,0,0,56,0,0,5,male
311 ms,9800 KB,China,Asia,84,615,453.5050955,3931.275215,40.89130435,160754.9713,55,0,0,55,0,0,5,male
265 ms,13300 KB,China,Asia,81,528,433.2506894,3347.440802,70.625,236413.0066,66,7,7,59,0,4,1,male
1496 ms,15600 KB,China,Asia,86,508,467.4994455,3264.542495,51.0625,166695.7012,59,10,10,49,0,5,2,male
342 ms,15800 KB,India,Asia,95,550,531.3425622,3613.420585,63.02678571,227742.2849,56,43,38,13,5,23,5,male
436 ms,18300 KB,India,Asia,80,467,425.7903187,2952.34042,64.20731707,189561.8575,60,46,38,14,8,22,5,male
1294 ms,18900 KB,Italy,Europe,76,540,398.8804611,3373.880857,53.75675676,181368.8926,99,77,64,22,13,25,5,male
545 ms,16200 KB,China,Asia,83,556,446.8336245,3544.521924,55.5,196720.9668,66,61,61,5,0,26,6,male
421 ms,14500 KB,China,Asia,81,559,433.2506894,3543.976152,48.8,172946.0362,90,70,64,20,6,22,5,male
451 ms,34600 KB,China,Asia,70,506,359.0910367,3101.417207,59.97222222,185998.8819,60,46,39,14,7,22,4,male
436 ms,19300 KB,India,Asia,63,470,315.5176503,2809.321564,50.92,143050.654,86,76,74,10,2,24,6,male
1559 ms,24000 KB,Lebanon,Asia,82,562,439.6362367,3572.944227,69.09090909,246857.9647,78,68,64,10,4,25,5,male
764 ms,15600 KB,China,Asia,87,512,474.2088866,3298.78707,52.40625,172877.0599,60,10,10,50,0,5,2,male
327 ms,19400 KB,Turkmenistan,Asia,69,525,352.582306,3206.97534,58.90909091,188920.0018,71,50,42,21,8,20,4,male
655 ms,139300 KB,China,Asia,72,490,372.2746801,3023.263251,62.37142857,188565.2479,58,51,51,7,0,20,5,female
468 ms,17200 KB,Argentina,America,90,579,495.0699333,3758.782943,50.4,189442.6603,63,45,42,18,3,18,5,male
390 ms,16200 KB,South Korea,Asia,76,504,398.8804611,3148.955467,53.12820513,167298.352,61,53,50,8,3,22,4,male
826 ms,32000 KB,Kyrgyzstan,Asia,83,454,446.3456778,2894.267902,50.96590909,147508.9948,87,74,68,13,6,19,5,male
545 ms,221700 KB,China,Asia,71,535,365.7235111,3290.114709,47.33823529,155748.2242,51,40,40,11,0,18,6,male
373 ms,21400 KB,China,Asia,84,549,453.092115,3509.382265,73.18181818,256822.9749,70,61,57,9,4,19,4,male
373 ms,13100 KB,China,Asia,108,666,630.3519002,4498.755076,63,283421.5698,49,0,-6,49,6,0,4,male
436 ms,14200 KB,Vietnam,Asia,79,581,419.4466845,3662.496615,56.93023256,208506.784,72,60,53,12,7,27,5,female
811 ms,17200 KB,Serbia,Europe,78,415,412.4094067,2608.441921,49.31081081,128624.3861,58,49,46,9,3,19,4,female
607 ms,32000 KB,Kyrgyzstan,Asia,83,457,446.3456778,2913.39302,50.96590909,148483.7238,88,74,68,14,6,19,5,male
857 ms,20500 KB,China,Asia,79,470,419.0808777,2962.776952,74.98684211,222169.2875,60,54,54,6,0,20,5,female
514 ms,15000 KB,India,Asia,79,436,419.0078103,2748.448406,50.7,139346.3342,86,66,54,20,12,17,3,male
514 ms,15000 KB,India,Asia,79,436,419.0078103,2748.448406,50.7,139346.3342,86,66,54,20,12,17,3,male
436 ms,15000 KB,India,Asia,79,436,419.0078103,2748.448406,50.7,139346.3342,86,66,54,20,12,17,3,male
467 ms,15000 KB,India,Asia,79,436,419.0078103,2748.448406,50.7,139346.3342,86,66,54,20,12,17,3,male
467 ms,15000 KB,India,Asia,79,436,419.0078103,2748.448406,50.7,139346.3342,86,66,54,20,12,17,3,male
421 ms,18700 KB,India,Asia,79,436,419.0078103,2748.448406,50.7,139346.3342,86,66,54,20,12,17,3,male
420 ms,18700 KB,India,Asia,79,436,419.0078103,2748.448406,50.7,139346.3342,86,66,54,20,12,17,3,male
436 ms,15000 KB,India,Asia,79,436,419.0078103,2748.448406,50.7,139346.3342,86,66,54,20,12,17,3,male
577 ms,34600 KB,China,Asia,77,525,405.551932,3290.062934,77.94871795,256456.1877,63,53,48,10,5,21,5,male
358 ms,16000 KB,China,Asia,87,573,475.4109925,3691.806623,46.94117647,173297.7462,81,61,49,20,12,23,3,male
1482 ms,15800 KB,India,Asia,72,470,372.5956925,2899.864751,49.63636364,143938.7413,74,57,53,17,4,21,3,male
390 ms,18700 KB,India,Asia,79,436,419.0078103,2748.448406,50.7,139346.3342,88,66,53,22,13,17,3,male
483 ms,72900 KB,China,Asia,78,588,412.85429,3695.816505,61.04651163,225616.7052,67,55,50,12,5,23,4,male
686 ms,27500 KB,Bangladesh,Asia,84,518,452.9890166,3311.220425,67.22093023,222583.3172,66,57,53,9,4,24,4,male
373 ms,74400 KB,China,Asia,78,588,412.85429,3695.816505,61.04651163,225616.7052,67,55,50,12,5,23,4,male
826 ms,26600 KB,Bangladesh,Asia,81,511,432.75063,3239.663351,76,246214.4147,63,47,36,16,11,22,4,male
1138 ms,18700 KB,Taiwan,Asia,90,589,495.0699333,3823.701474,72.4,276835.9867,84,62,52,22,10,22,6,male
202 ms,7000 KB,China,Asia,73,555,378.9461511,3435.35263,51.57142857,177166.0428,60,49,49,11,0,24,6,male
811 ms,15800 KB,Singapore,Asia,78,700,412.85429,4399.781553,74.06976744,325890.7964,81,54,49,27,5,23,4,male
1622 ms,15800 KB,South Korea,Asia,75,438,392.2479866,2728.222586,50.91666667,138912,62,53,51,9,2,19,4,male
1357 ms,19300 KB,Indonesia,Asia,80,512,425.8985773,3236.827185,48.85714286,158142.1282,66,54,50,12,4,21,3,male
1606 ms,23500 KB,Vietnam,Asia,70,440,359.4212455,2696.884527,45.125,121696.9143,67,58,57,9,1,24,5,male
389 ms,11800 KB,China,Asia,79,559,419.0078103,3523.813438,54.87179487,193357.9681,96,0,-9,96,9,0,5,male
295 ms,16600 KB,Ukraine,Europe,84,488,452.9546635,3119.450902,65,202764.3087,76,61,58,15,3,20,6,male
358 ms,19300 KB,Indonesia,Asia,84,510,453.092115,3260.081886,69.54545455,226723.8766,78,59,49,19,10,19,5,male
358 ms,19300 KB,Indonesia,Asia,84,510,453.092115,3260.081886,69.54545455,226723.8766,78,59,49,19,10,19,5,male
390 ms,15700 KB,Indonesia,Asia,71,506,365.6422056,3111.772042,66.34285714,206443.8481,74,61,56,13,5,20,4,male
436 ms,23500 KB,China,Asia,95,660,530.4235573,4336.104701,63.39814815,274901.0083,60,0,0,60,0,0,4,male
249 ms,16600 KB,Brazil,America,76,544,398.8804611,3398.872567,65.46153846,222495.4273,67,53,47,14,6,22,6,male
1559 ms,12900 KB,China,Asia,88,560,481.614055,3617.281706,66.5,240549.2335,77,9,9,68,0,4,1,male
436 ms,13100 KB,China,Asia,0,0,0,0,0,0,74,55,51,19,4,24,9,male
233 ms,16600 KB,Brazil,America,76,556,398.8804611,3473.847697,65.46153846,227403.4147,67,53,47,14,6,22,6,male
390 ms,17400 KB,India,Asia,74,482,385.8508604,2992.956522,50,149647.8261,89,72,72,17,0,22,3,male
280 ms,24200 KB,Taiwan,Asia,78,542,412.2983693,3406.688003,56.84210526,193643.318,76,63,57,13,6,18,4,female
389 ms,13300 KB,India,Asia,108,666,630.3519002,4498.755076,63,283421.5698,49,0,-6,49,6,0,4,male
592 ms,16600 KB,China,Asia,72,548,372.2346001,3381.118901,52,175818.1828,58,52,52,6,0,26,4,male
826 ms,14900 KB,China,Asia,80,466,425.7903187,2946.018492,59.92682927,176545.5472,76,54,46,22,8,17,3,female
1153 ms,13100 KB,Poland,Europe,79,530,419.0078103,3341.003797,78.4875,262227.0355,93,68,48,25,20,21,4,male
748 ms,20100 KB,Brazil,America,81,602,432.6080183,3816.589702,82.17857143,313641.8894,65,43,27,22,16,25,6,male
483 ms,59600 KB,China,Asia,82,584,440.5905816,3712.810371,65.90425532,244690.0026,87,0,-10,87,10,0,6,male
1606 ms,15700 KB,Croatia,Europe,68,588,345.9474732,3579.428151,70.5,252349.6846,91,77,69,14,8,22,5,male
701 ms,17800 KB,Poland,Europe,88,576,480.5611817,3720.632612,70.76086957,263275.199,100,65,44,35,21,22,6,male
436 ms,10900 KB,Chile,America,94,622,523.6410489,4076.954266,71.11111111,289916.7478,97,65,38,32,27,24,4,male
592 ms,15800 KB,Latvia,Europe,84,503,452.9546635,3215.335664,70.5,226681.1643,82,56,46,26,10,21,5,male
1310 ms,17000 KB,Ukraine,Europe,82,514,439.3544556,3267.78173,67.61904762,220964.2884,67,48,47,19,1,25,6,male
358 ms,12200 KB,Brazil,America,94,618,525.2245053,4050.73591,51.28070175,207724.5801,77,60,49,17,11,24,4,male
436 ms,15400 KB,Colombia,America,84,669,452.9890166,4276.460356,104.8837209,448531.0745,80,69,65,11,4,27,7,male
483 ms,10900 KB,Chile,America,94,630,523.6410489,4129.390977,71.11111111,293645.5806,100,68,41,32,27,24,4,male
389 ms,14600 KB,Romania,Europe,77,513,405.551932,3214.861495,67.73684211,217764.5655,82,63,52,19,11,20,4,male
655 ms,15400 KB,Croatia,Europe,92,545,508.6701412,3555.341266,65.1,231452.7164,91,59,41,32,18,19,5,male
920 ms,14100 KB,Canada,America,69,473,352.7497745,2889.332068,58.96875,170380.3004,91,71,63,20,8,22,4,male
514 ms,92500 KB,Serbia,Europe,93,553,517.3960298,3616.154823,61.49090909,222360.6475,98,64,39,34,25,22,4,male
296 ms,16600 KB,Belarus,Europe,78,428,412.5946318,2690.15215,61.25,164771.8192,77,59,49,18,10,19,5,male
358 ms,15800 KB,El Salvador,America,78,532,412.4094067,3343.83398,67.04054054,224172.4375,89,68,62,21,6,23,3,male
1544 ms,17100 KB,Finland,Europe,72,518,372.2746801,3196.021151,59.72857143,190893.7776,93,63,45,30,18,23,5,male
561 ms,14500 KB,Serbia,Europe,85,612,459.8067162,3922.547253,86,337339.0638,87,61,43,26,18,29,7,male
654 ms,20200 KB,Serbia,Europe,90,541,494.2988412,3512.092525,77.95652174,273790.5173,76,60,59,16,1,24,7,male
1887 ms,27700 KB,Croatia,Europe,58,539,284.2247957,3157.451756,50.72727273,160168.9164,107,76,67,31,9,24,3,male
405 ms,15000 KB,Finland,Europe,73,565,378.9461511,3497.250876,71.11428571,248704.498,96,77,69,19,8,24,4,male
577 ms,12900 KB,Finland,Europe,73,565,378.9461511,3497.250876,71.11428571,248704.498,96,77,69,19,8,24,4,male
420 ms,14600 KB,Peru,America,88,546,481.2514689,3526.849664,60.48979592,213338.4164,109,77,52,32,25,23,5,male
327 ms,13500 KB,Canada,America,90,550,494.3950605,3570.519203,65.41489362,233565.1338,86,67,56,19,11,17,2,male
577 ms,17000 KB,Canada,America,96,651,536.1864584,4286.810588,79.6122449,341282.6144,71,50,46,21,4,25,7,male
405 ms,27100 KB,Latvia,Europe,54,405,269.4968818,2330.729438,22.75,53024.09472,79,62,62,17,0,21,5,male
498 ms,17800 KB,France,Europe,92,597,508.9533246,3894.566488,69.53921569,270825.099,115,83,61,32,22,19,6,male
1466 ms,12500 KB,United States,America,93,641,517.3960298,4191.600798,73.58181818,308425.6078,96,70,49,26,21,22,1,male
389 ms,13000 KB,Brazil,America,94,606,523.2394163,3972.080844,75.81132075,301128.6949,100,56,30,44,26,19,5,male
452 ms,22900 KB,Lithuania,Europe,83,540,446.1369639,3442.521293,59.54761905,204993.9465,97,66,64,31,2,22,4,male
1528 ms,17800 KB,Ukraine,Europe,78,524,412.2983693,3293.550763,69.47368421,228815.1056,91,69,62,22,7,18,4,male
358 ms,39600 KB,Belarus,Europe,88,544,480.9553238,3513.930801,60.83333333,213764.1237,76,50,42,26,8,21,5,male
483 ms,15500 KB,United States,America,68,472,346.6279634,2873.282461,63.96666667,183794.3014,80,63,55,17,8,17,4,male
795 ms,22700 KB,Brazil,America,97,609,544.452116,4019.346921,68.34545455,274704.0923,117,70,44,47,26,19,7,male
280 ms,15900 KB,Poland,Europe,86,513,466.9609738,3296.673819,67.82608696,223600.4851,97,69,52,28,17,22,5,male
467 ms,15400 KB,Brazil,America,89,669,488.323496,4332.265665,75.66,327779.2202,85,55,43,30,12,20,6,male
514 ms,23600 KB,Colombia,America,98,728,552.134363,4815.508767,92.07017544,443364.737,79,56,47,23,9,27,6,male
311 ms,15100 KB,United States,America,86,498,466.7930215,3200.279848,66.96666667,214312.0738,80,58,51,22,7,20,6,male
997 ms,25500 KB,United States,America,70,577,360.541081,3536.596301,58.67241379,207500.6416,115,80,60,35,20,21,5,male
795 ms,15800 KB,Serbia,Europe,81,447,432.536756,2833.912951,50.225,142333.278,69,52,42,17,10,19,4,male
1700 ms,17400 KB,Ukraine,Europe,78,534,412.4094067,3356.404785,72.58108108,243611.4878,103,82,75,21,7,20,4,male
342 ms,18500 KB,Armenia,Europe,0,0,0,0,0,0,120,70,56,50,14,23,5,male
1309 ms,15800 KB,United States,America,90,567,495.0699333,3680.880706,67.2,247355.1834,74,65,60,9,5,27,4,male
374 ms,73000 KB,Lithuania,Europe,92,510,508.4501668,3327.016598,51.7755102,172257.9818,95,52,33,43,19,14,4,male
1466 ms,19300 KB,Croatia,Europe,88,697,482.043467,4502.223838,102.2941176,460551.015,87,57,42,30,15,24,5,male
373 ms,17400 KB,Lithuania,Europe,85,547,460.2145365,3505.936842,65.70652174,230362.9153,97,77,65,20,12,24,5,male
1575 ms,36800 KB,Bosnia and Herzegovina,Europe,81,583,432.75063,3696.132552,67.1627907,248242.577,96,63,56,33,7,24,4,male
841 ms,15800 KB,Romania,Europe,74,537,385.8508604,3334.476457,84.11764706,280488.3138,88,68,61,20,7,22,5,male
732 ms,18100 KB,Ukraine,Europe,98,621,552.134363,4107.734813,58.62280702,240806.9452,88,70,57,18,13,18,5,male
560 ms,9500 KB,Colombia,America,87,600,474.2088866,3865.766098,58.09375,224576.8492,76,60,60,16,0,20,5,male
702 ms,18100 KB,Ukraine,Europe,98,623,552.134363,4120.964233,58.62280702,241582.491,88,70,57,18,13,18,5,male
966 ms,17000 KB,Brazil,America,89,598,487.7378322,3872.488592,57.65625,223273.1704,92,69,61,23,8,23,5,male
405 ms,15000 KB,United States,America,93,659,516.8946117,4309.305657,70.05555556,301890.8018,94,59,42,35,17,22,3,male
295 ms,15100 KB,Greece,Europe,83,586,446.3456778,3735.773107,70.46590909,263244.6481,99,71,51,28,20,22,6,male
1669 ms,17000 KB,Hungary,Europe,83,609,446.5546348,3882.399014,84.02222222,326207.7927,82,63,58,19,5,21,3,male
763 ms,15800 KB,Belarus,Europe,84,588,453.092115,3758.682645,94.6,355571.3782,97,69,59,28,10,22,8,male
1465 ms,20500 KB,Colombia,America,83,525,446.8336245,3346.895701,60.32608696,201905.1211,90,67,55,23,12,20,5,male
358 ms,17800 KB,Hungary,Europe,73,529,379.1044231,3274.417192,60.22058824,197187.3294,105,86,74,19,12,23,7,male
374 ms,14200 KB,Romania,Europe,87,609,474.5420279,3923.752589,63.97959184,251040.0891,98,74,60,24,14,23,9,male
623 ms,49900 KB,Belarus,Europe,96,602,537.2412569,3964.147425,84,332988.3837,109,61,35,48,26,26,6,male
342 ms,27900 KB,Brazil,America,99,714,560.5441223,4733.360627,59.8,283054.9655,111,78,53,33,25,20,5,male
935 ms,15800 KB,Croatia,Europe,81,679,432.536756,4304.758152,105.0625,452268.6533,110,66,49,44,17,24,5,male
389 ms,42000 KB,United States,America,106,681,609.8980196,4581.71383,74.73809524,342428.5645,97,64,49,33,15,26,6,male
1263 ms,16600 KB,Brazil,America,93,604,515.7710242,3949.651922,67.94117647,268343.9982,100,55,36,45,19,18,5,male
499 ms,16800 KB,Poland,Europe,92,819,508.4501668,5342.797242,49.58163265,264904.6102,82,44,38,38,6,22,7,male
998 ms,17000 KB,Brazil,America,89,596,487.7378322,3859.537125,57.65625,222526.4374,91,68,60,23,8,23,5,male
779 ms,18200 KB,Ukraine,Europe,98,671,552.134363,4438.470305,58.62280702,260195.5882,92,74,61,18,13,18,5,male
390 ms,30700 KB,Belarus,Europe,49,462,248.8391595,2593.995948,25.08333333,65066.06503,97,69,67,28,2,24,5,male
234 ms,11900 KB,Brazil,America,92,756,509.2999891,4931.812839,89.61538462,441966.3044,103,72,55,31,17,26,7,male
624 ms,20300 KB,Cuba,America,96,829,539.8257144,5458.933913,86.8559322,474140.7939,117,76,43,41,33,30,6,male
1372 ms,169900 KB,Romania,Europe,70,530,359.7107722,3248.519999,57.87096774,187994.9961,99,68,59,31,9,22,5,male
389 ms,16200 KB,Colombia,America,91,554,501.2806672,3605.318231,59.81818182,215663.5814,97,71,63,26,8,23,7,male
483 ms,156700 KB,Poland,Europe,95,723,530.0571158,4750.005605,95.09433962,451698.6462,102,69,54,33,15,33,7,male
514 ms,20300 KB,Cuba,America,97,844,547.1632103,5570.326439,86.33333333,480904.8492,117,70,37,47,33,28,6,male
670 ms,14900 KB,Cuba,America,79,558,419.0808777,3517.509657,72.82894737,256176.5257,97,71,61,26,10,23,5,male
1341 ms,211600 KB,Germany,Europe,101,668,575.2908578,4447.68527,55.04032258,244802.032,87,62,56,25,6,27,9,male
311 ms,41900 KB,Armenia,Europe,100,718,568.5814168,4770.288744,65.88709677,314300.4761,98,85,79,13,6,19,4,male
436 ms,18200 KB,Canada,America,104,734,593.8467477,4918.122753,96.36206897,473920.4839,88,59,51,29,8,18,4,female
1528 ms,34100 KB,Poland,Europe,76,646,398.9944238,4036.161174,90,363254.5056,89,82,80,7,2,27,7,male
716 ms,14900 KB,Poland,Europe,87,634,473.7434822,4084.826176,57.48913043,234833.1049,116,65,32,51,33,22,3,male
529 ms,22500 KB,Belarus,Europe,88,588,480.5611817,3798.145792,82.14285714,311990.5472,88,80,77,8,3,16,1,male
561 ms,16600 KB,Ukraine,Europe,100,638,565.4268669,4238.780249,66,279759.4964,109,65,46,44,19,18,5,male
654 ms,68500 KB,Belarus,Europe,101,672,572.689722,4474.318116,71.01754386,317755.0831,134,65,37,69,28,20,5,male
358 ms,39500 KB,Ukraine,Europe,92,574,508.4501668,3744.524563,76.78571429,287525.9932,88,51,38,37,13,21,5,male
249 ms,77100 KB,Germany,Europe,85,634,459.8746234,4063.553854,70.81818182,287773.4956,105,73,58,32,15,19,6,male
1372 ms,41800 KB,Ukraine,Europe,91,673,501.2172393,4379.745793,66.52173913,291348.3071,127,80,59,47,21,23,8,male
935 ms,25600 KB,Ukraine,Europe,46,500,228.3868988,2761.780978,23.33333333,64441.55615,98,72,55,26,17,28,5,male
1357 ms,17800 KB,Belarus,Europe,74,571,385.4995491,3545.597872,85,301375.8191,107,73,55,34,18,22,5,male
592 ms,21700 KB,Serbia,Europe,82,587,439.3544556,3731.883027,65.1,242945.585,110,69,57,41,12,20,4,male
405 ms,15400 KB,United States,America,104,699,594.628427,4683.607363,72.23333333,338312.5719,126,87,71,39,16,28,7,male
467 ms,16200 KB,Macedonia,Europe,85,642,459.8067162,4114.828981,73.20238095,301215.2786,105,76,68,29,8,28,4,male
342 ms,18200 KB,Poland,Europe,76,609,398.842491,3804.987856,74,281569.1013,109,83,67,26,16,21,5,male
311 ms,29100 KB,Belarus,Europe,91,611,501.8524417,3976.262525,73.39,291817.9067,100,52,41,48,11,21,5,male
467 ms,14200 KB,Brazil,America,106,847,610.4773318,5698.548625,84.65625,482417.757,130,82,54,48,28,29,9,male
1762 ms,19800 KB,Spain,Europe,72,647,372.2746801,3991.941476,78.51351351,313421.351,112,70,46,42,24,22,6,male
