numberOfFunction,slocP,program_length,gender,blankLine,loc,program_vocabulary,comments,continent,memory,cyclomatic_complexity,volume,effort,calculated_estimated_program_length,difficulty,time,lsloc
1,14,245,male,0,17,50,3,Western,15400 KB,8,1382.744766,33185.8744,232.1928095,24,4898 ms,14
3,21,249,male,0,24,54,3,Eastern,0 KB,13,1432.966988,20061.53783,256.8173705,14,3462 ms,21
2,28,280,male,0,31,68,3,Eastern,18800 KB,13,1704.489596,61361.62544,346.1173001,36,670 ms,28
2,31,271,female,0,35,66,4,Eastern,14100 KB,13,1638.030806,58969.10903,333.6312234,36,702 ms,31
2,32,255,male,0,38,66,6,Eastern,11800 KB,14,1541.3205,55487.53802,333.3240179,36,1528 ms,32
1,15,280,female,0,27,55,12,Eastern,10600 KB,4,1618.78072,25900.49152,264.5725015,16,1309 ms,15
1,27,256,female,8,44,55,17,Eastern,11600 KB,9,1480.028087,19240.36513,262.9879004,13,1669 ms,19
2,27,381,male,0,31,81,4,Eastern,9400 KB,17,2415.482851,86957.38264,433.2506894,36,561 ms,27
2,31,279,male,0,35,65,4,Eastern,9400 KB,15,1680.24062,63849.14355,328.3421192,38,1325 ms,31
2,25,299,male,0,34,77,9,Eastern,11800 KB,8,1873.769176,35601.61434,405.551932,19,748 ms,25
2,40,262,male,0,47,60,7,Eastern,10600 KB,14,1547.605336,52618.58143,295.1851693,34,779 ms,40
2,36,324,male,0,41,72,5,Eastern,12900 KB,13,1999.0557,71966.00522,372.2746801,36,592 ms,36
1,29,241,male,0,38,56,9,Eastern,75100 KB,6,1399.572536,47585.46623,271.0812322,34,1419 ms,29
2,28,338,male,0,37,78,9,Eastern,11800 KB,14,2124.46595,114721.1613,412.4094067,54,529 ms,28
2,27,250,male,0,32,60,5,Eastern,9400 KB,14,1476.722649,26581.00768,296.7916995,18,686 ms,27
2,34,277,male,0,44,64,10,Eastern,10600 KB,14,1662,59832,320.7232379,36,779 ms,34
2,35,269,male,0,39,63,4,Eastern,39100 KB,13,1607.888299,61099.75538,316.1697866,38,1372 ms,35
